,hand_tool_model,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,-153.664581,321.898499,2405.604004,-16.827082,11.478495,36.740871,1
0.012000,-153.662354,321.904144,2405.602783,-16.820337,11.481632,36.746628,1
0.025000,-153.668686,321.901459,2405.604248,-16.831593,11.466376,36.743523,1
0.037000,-153.651993,321.903717,2405.603027,-16.791420,11.515997,36.745369,1
0.049000,-153.697845,321.856079,2405.714111,-16.844776,11.329313,36.724693,1
0.062000,-153.692963,321.855316,2405.709961,-16.833580,11.344617,36.723747,1
0.074000,-153.690063,321.862274,2405.722412,-16.849451,11.363715,36.721493,1
0.087000,-153.696472,321.856842,2405.731201,-16.827450,11.340471,36.728210,1
0.099000,-153.731369,321.871613,2405.692139,-16.965458,11.285239,36.709080,1
0.112000,-153.735504,321.866577,2405.697266,-16.951721,11.259056,36.718182,1
0.124000,-153.746429,321.874695,2405.713379,-16.982874,11.244981,36.717079,1
0.137000,-153.742035,321.868103,2405.700195,-16.947851,11.242233,36.725670,1
0.149000,-153.742355,321.872528,2405.703125,-16.982159,11.257588,36.713139,1
0.162000,-153.740677,321.866852,2405.696533,-16.957727,11.252321,36.718071,1
0.174000,-153.734177,321.865814,2405.696045,-16.950008,11.267953,36.713665,1
0.187000,-153.733231,321.865509,2405.692139,-16.942671,11.270370,36.720734,1
0.199000,-153.723404,321.864655,2405.691650,-16.926271,11.287947,36.718597,1
0.212000,-153.731659,321.867645,2405.703613,-16.946669,11.265658,36.716599,1
0.224000,-153.732224,321.870697,2405.693604,-16.961746,11.279175,36.707371,1
0.237000,-153.720306,321.860168,2405.674561,-16.920202,11.301819,36.713139,1
0.249000,-153.722717,321.868866,2405.701660,-16.936045,11.294068,36.714184,1
0.262000,-153.737946,321.872742,2405.711182,-16.959023,11.261642,36.718037,1
0.274000,-153.733871,321.870789,2405.704346,-16.957605,11.272044,36.713078,1
0.287000,-153.720718,321.860046,2405.677002,-16.920544,11.287909,36.717957,1
0.299000,-153.735901,321.863861,2405.702637,-16.948610,11.268873,36.714363,1
0.312000,-153.728851,321.865173,2405.689697,-16.939035,11.288660,36.714584,1
0.324000,-153.732132,321.858917,2405.695068,-16.931860,11.267343,36.715603,1
0.337000,-153.721558,321.856537,2405.685791,-16.901148,11.288475,36.715473,1
0.349000,-153.864304,321.707397,2405.657715,-16.801935,10.872188,36.769077,1
0.362000,-153.733215,321.874573,2405.696045,-16.961859,11.290910,36.709045,1
0.374000,-153.731461,321.865662,2405.702393,-16.941505,11.274591,36.718102,1
0.387000,-153.739059,321.864594,2405.709229,-16.949707,11.252507,36.719597,1
0.400000,-153.727264,321.872681,2405.708984,-16.939203,11.288365,36.722996,1
0.412000,-153.726120,321.867798,2405.692627,-16.934637,11.280822,36.720226,1
0.425000,-153.722855,321.863922,2405.684814,-16.928236,11.292180,36.713322,1
0.437000,-153.729233,321.860260,2405.711426,-16.908962,11.263327,36.727688,1
0.450000,-153.725311,321.871277,2405.683838,-16.942904,11.291993,36.715702,1
0.462000,-153.731689,321.863922,2405.704834,-16.944370,11.271173,36.714340,1
0.475000,-153.718765,321.863922,2405.675781,-16.922241,11.305650,36.718517,1
0.487000,-153.723251,321.866913,2405.682617,-16.936964,11.298993,36.711128,1
0.500000,-153.736633,321.866058,2405.699219,-16.955132,11.267059,36.713188,1
0.512000,-153.739731,321.869049,2405.700195,-16.961208,11.252445,36.718300,1
0.525000,-153.732162,321.866547,2405.692871,-16.951807,11.278955,36.712086,1
0.537000,-153.727783,321.864960,2405.699463,-16.937439,11.279778,36.712040,1
0.550000,-153.734665,321.866272,2405.704102,-16.948895,11.264565,36.714455,1
0.562000,-153.727509,321.864410,2405.676514,-16.949797,11.281935,36.711941,1
0.575000,-153.740173,321.870331,2405.690674,-16.981007,11.256843,36.709843,1
0.587000,-153.854080,321.714447,2405.654541,-16.813126,10.901346,36.762230,1
0.600000,-153.735992,321.866760,2405.692627,-16.944344,11.261511,36.718082,1
0.612000,-153.732590,321.871033,2405.701904,-16.947752,11.272020,36.716866,1
0.625000,-153.742599,321.871460,2405.712402,-16.963980,11.246666,36.722149,1
0.637000,-153.721725,321.860077,2405.683838,-16.909643,11.286954,36.720032,1
0.650000,-153.725723,321.864441,2405.686279,-16.927229,11.293877,36.713676,1
0.662000,-153.732864,321.877838,2405.695801,-16.970371,11.289349,36.714687,1
0.675000,-153.724945,321.858643,2405.683105,-16.913691,11.280146,36.719051,1
0.687000,-153.727585,321.866333,2405.681396,-16.951527,11.291314,36.705013,1
0.700000,-153.725616,321.865906,2405.680664,-16.939383,11.301070,36.708454,1
0.712000,-153.728317,321.862579,2405.690918,-16.930920,11.281434,36.718403,1
0.725000,-153.850922,321.717957,2405.651855,-16.806717,10.912683,36.765930,1
0.737000,-153.723724,321.866089,2405.690186,-16.936653,11.296126,36.713554,1
0.750000,-153.732666,321.868256,2405.693604,-16.955441,11.271035,36.711235,1
0.762000,-153.730865,321.870575,2405.690430,-16.962051,11.277972,36.715294,1
0.775000,-153.728394,321.868073,2405.695801,-16.950075,11.282449,36.711781,1
0.787000,-153.716461,321.863068,2405.673096,-16.911276,11.308575,36.713650,1
0.800000,-153.736694,321.873138,2405.697021,-16.972149,11.268398,36.710423,1
0.812000,-153.721634,321.859985,2405.702881,-16.902935,11.279602,36.723190,1
0.825000,-153.723343,321.863495,2405.694580,-16.930058,11.288916,36.713814,1
0.837000,-153.739380,321.865417,2405.707031,-16.945988,11.251223,36.719769,1
0.850000,-153.726868,321.860291,2405.680176,-16.926186,11.280822,36.715862,1
0.862000,-153.723022,321.861206,2405.682861,-16.930977,11.292293,36.713291,1
0.875000,-153.738312,321.875458,2405.701660,-16.975269,11.272549,36.712437,1
0.887000,-153.738541,321.872894,2405.704102,-16.960772,11.255766,36.721184,1
0.900000,-153.738937,321.869110,2405.707520,-16.964794,11.257336,36.719181,1
0.912000,-153.729736,321.863861,2405.677002,-16.946983,11.274272,36.715832,1
0.925000,-153.737167,321.869141,2405.708984,-16.958500,11.254594,36.717628,1
0.937000,-153.722626,321.865906,2405.694824,-16.930216,11.294601,36.713322,1
0.950000,-153.732849,321.874390,2405.708496,-16.959028,11.277955,36.717487,1
0.962000,-153.856720,321.691833,2405.634521,-16.776728,10.867920,36.773785,1
0.975000,-153.722382,321.858124,2405.679688,-16.922707,11.281620,36.714672,1
0.987000,-153.733276,321.871979,2405.702637,-16.957493,11.274911,36.717030,1
1.000000,-153.740875,321.864349,2405.698730,-16.956913,11.249233,36.714054,1
1.012000,-153.728333,321.865387,2405.698975,-16.922823,11.278780,36.717415,1
