,hand_tool_model,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,537.358826,-197.530869,2552.860107,-23.594460,4.692957,-10.584350,1
0.012000,537.378052,-197.542725,2552.835449,-23.578482,4.748209,-10.582211,1
0.024000,537.374146,-197.542908,2552.818604,-23.558084,4.758873,-10.582859,1
0.037000,537.365112,-197.520187,2552.840088,-23.596909,4.713819,-10.574904,1
0.049000,537.383240,-197.551041,2552.766113,-23.538204,4.797189,-10.572990,1
0.062000,537.378662,-197.547821,2552.782227,-23.546955,4.775534,-10.579248,1
0.074000,537.377258,-197.554260,2552.761230,-23.504705,4.788593,-10.579188,1
0.087000,537.384705,-197.551010,2552.761963,-23.549353,4.793030,-10.572629,1
0.099000,537.388855,-197.554413,2552.763916,-23.547924,4.810577,-10.571812,1
0.112000,537.380432,-197.547272,2552.758545,-23.513231,4.794157,-10.570622,1
0.124000,537.381653,-197.565720,2552.761963,-23.499735,4.804860,-10.577650,1
0.137000,537.385010,-197.559601,2552.777344,-23.537601,4.789158,-10.572779,1
0.149000,537.381348,-197.548203,2552.758301,-23.525681,4.797376,-10.573866,1
0.162000,537.381348,-197.555878,2552.737549,-23.487165,4.820709,-10.574097,1
0.174000,537.372009,-197.560883,2552.761230,-23.508591,4.792527,-10.576596,1
0.187000,537.362122,-197.554413,2552.770020,-23.520170,4.764487,-10.576561,1
0.199000,537.370850,-197.543793,2552.747803,-23.501141,4.800958,-10.575521,1
0.212000,537.371338,-197.555069,2552.743164,-23.510794,4.808218,-10.577803,1
0.224000,537.355896,-197.562424,2552.778320,-23.514961,4.752390,-10.579992,1
0.237000,537.367371,-197.542419,2552.781738,-23.520643,4.775404,-10.574556,1
0.249000,537.380005,-197.547012,2552.776123,-23.517759,4.807622,-10.573741,1
0.262000,537.367676,-197.559082,2552.787598,-23.532671,4.766216,-10.578200,1
0.274000,537.366516,-197.545593,2552.777832,-23.532204,4.772120,-10.573646,1
0.287000,537.370178,-197.548645,2552.780029,-23.510260,4.773497,-10.574814,1
0.299000,537.373840,-197.551239,2552.779053,-23.525877,4.781466,-10.572780,1
0.312000,537.372437,-197.558945,2552.770752,-23.503759,4.791110,-10.574450,1
0.324000,537.370605,-197.530304,2552.778320,-23.558870,4.772162,-10.577974,1
0.337000,537.365784,-197.541977,2552.762939,-23.533615,4.773606,-10.578457,1
0.349000,537.369507,-197.543503,2552.774658,-23.545872,4.773446,-10.576557,1
0.362000,537.367371,-197.545807,2552.780273,-23.514093,4.779478,-10.576646,1
0.374000,537.366272,-197.543167,2552.763184,-23.528320,4.790726,-10.576256,1
0.387000,537.370117,-197.563873,2552.755127,-23.498589,4.807856,-10.578760,1
0.399000,537.353577,-197.550186,2552.779297,-23.519224,4.753201,-10.577483,1
0.412000,537.352539,-197.538193,2552.773926,-23.544987,4.755426,-10.576617,1
0.424000,537.359070,-197.557190,2552.770996,-23.514648,4.771637,-10.574833,1
0.437000,537.360901,-197.558167,2552.767090,-23.494480,4.776876,-10.576378,1
0.449000,537.356812,-197.552536,2552.788818,-23.501348,4.759146,-10.577753,1
0.462000,537.378235,-197.551178,2552.774414,-23.529581,4.799210,-10.570708,1
0.474000,537.368347,-197.558960,2552.765625,-23.508690,4.791843,-10.577746,1
0.487000,537.370117,-197.549423,2552.773438,-23.526537,4.792839,-10.576341,1
0.499000,537.367737,-197.555634,2552.785645,-23.519485,4.781141,-10.576126,1
0.512000,537.379395,-197.545441,2552.775879,-23.540155,4.807516,-10.571898,1
0.524000,537.359985,-197.545212,2552.798828,-23.524124,4.759932,-10.579889,1
0.537000,537.351868,-197.553497,2552.799805,-23.506401,4.743203,-10.578067,1
0.549000,537.374390,-197.549286,2552.789307,-23.530273,4.795387,-10.574502,1
0.562000,537.367798,-197.562103,2552.768311,-23.478437,4.794456,-10.576475,1
0.574000,537.369019,-197.541214,2552.787354,-23.541952,4.788771,-10.574439,1
0.587000,537.359802,-197.562851,2552.784424,-23.499809,4.780873,-10.578900,1
0.599000,537.363770,-197.533310,2552.786133,-23.558384,4.777106,-10.576719,1
0.612000,537.372192,-197.550003,2552.794678,-23.538429,4.797614,-10.576070,1
0.624000,537.359985,-197.547363,2552.790283,-23.532581,4.769403,-10.577042,1
0.637000,537.343750,-197.554901,2552.795898,-23.503090,4.730424,-10.580621,1
0.649000,537.371521,-197.549072,2552.794678,-23.537096,4.787363,-10.577920,1
0.662000,537.353516,-197.556488,2552.791504,-23.515881,4.754779,-10.577832,1
0.674000,537.351624,-197.561264,2552.810547,-23.507715,4.746594,-10.579535,1
0.687000,537.353394,-197.552292,2552.792480,-23.506527,4.763518,-10.579479,1
0.699000,537.360229,-197.550278,2552.807617,-23.543360,4.758366,-10.579374,1
0.712000,537.336182,-197.549789,2552.831787,-23.536020,4.700503,-10.580530,1
0.724000,537.353699,-197.543442,2552.783691,-23.534552,4.760740,-10.577359,1
0.737000,537.359802,-197.552567,2552.775391,-23.514881,4.783498,-10.573241,1
0.749000,537.360474,-197.569107,2552.750977,-23.495895,4.803405,-10.578438,1
0.762000,537.342651,-197.553574,2552.789551,-23.512814,4.746417,-10.580378,1
0.774000,537.359131,-197.562897,2552.778320,-23.500200,4.787001,-10.576221,1
0.787000,537.355225,-197.558456,2552.767334,-23.509624,4.784698,-10.580175,1
0.799000,537.348450,-197.560608,2552.769775,-23.494265,4.767481,-10.581640,1
0.812000,537.355713,-197.557404,2552.792236,-23.493801,4.761823,-10.572364,1
0.824000,537.359131,-197.568390,2552.784424,-23.492172,4.784473,-10.576511,1
0.837000,537.358826,-197.548401,2552.787842,-23.523701,4.775125,-10.576830,1
0.849000,537.358459,-197.544281,2552.789551,-23.538588,4.765298,-10.575509,1
0.862000,537.368713,-197.559555,2552.772461,-23.522608,4.799944,-10.575885,1
0.874000,537.364868,-197.561798,2552.782227,-23.502735,4.787537,-10.573917,1
0.887000,537.362793,-197.557938,2552.778320,-23.516420,4.786389,-10.575874,1
0.899000,537.356506,-197.551773,2552.792725,-23.532129,4.764363,-10.576261,1
0.912000,537.363586,-197.564743,2552.791992,-23.508602,4.787086,-10.577724,1
0.924000,537.360229,-197.556198,2552.790527,-23.518074,4.775043,-10.580236,1
0.937000,537.366089,-197.552231,2552.807617,-23.530230,4.773174,-10.578644,1
0.949000,537.375244,-197.560196,2552.809082,-23.529270,4.796436,-10.577878,1
0.962000,537.373840,-197.550385,2552.797607,-23.526415,4.791903,-10.572838,1
0.974000,537.359070,-197.546829,2552.805664,-23.524071,4.751955,-10.572916,1
0.987000,537.369568,-197.557693,2552.790283,-23.524691,4.790086,-10.576041,1
0.999000,537.357300,-197.571075,2552.803955,-23.491226,4.758117,-10.582401,1
1.012000,537.363342,-197.556412,2552.791504,-23.496832,4.772028,-10.578700,1
1.024000,537.354065,-197.550308,2552.787598,-23.526110,4.748394,-10.575472,1
1.037000,537.361267,-197.554733,2552.768799,-23.521969,4.772098,-10.580977,1
1.049000,537.353760,-197.559265,2552.768311,-23.498480,4.764174,-10.579250,1
1.062000,537.364868,-197.563919,2552.769775,-23.485277,4.789568,-10.577211,1
1.074000,537.358826,-197.546616,2552.790039,-23.540829,4.756155,-10.577325,1
1.087000,537.371765,-197.559891,2552.757812,-23.502640,4.801534,-10.577546,1
1.099000,537.376038,-197.565201,2552.746338,-23.484978,4.815223,-10.578860,1
1.112000,537.355103,-197.557007,2552.784668,-23.500980,4.767763,-10.580669,1
1.124000,537.363403,-197.549072,2552.735840,-23.497934,4.818559,-10.579320,1
1.137000,537.356812,-197.535141,2552.777344,-23.524956,4.759949,-10.577664,1
1.149000,537.354858,-197.548920,2552.789062,-23.516016,4.753501,-10.577567,1
1.162000,537.354553,-197.549118,2552.782227,-23.517462,4.749563,-10.579362,1
1.174000,537.353638,-197.537216,2552.782471,-23.530197,4.754282,-10.580073,1
1.187000,537.348633,-197.540848,2552.796143,-23.537415,4.727781,-10.579457,1
1.199000,537.364746,-197.542175,2552.778564,-23.560040,4.777004,-10.575654,1
1.212000,537.372131,-197.535217,2552.757324,-23.542686,4.803130,-10.574064,1
1.224000,537.363037,-197.547379,2552.761230,-23.524868,4.779566,-10.576385,1
1.237000,537.363342,-197.556076,2552.766602,-23.517893,4.765062,-10.579237,1
1.249000,537.374207,-197.555267,2552.770020,-23.514612,4.797410,-10.577352,1
1.262000,537.371460,-197.554565,2552.753662,-23.508694,4.786787,-10.576162,1
1.274000,537.391113,-197.562912,2552.753174,-23.508793,4.826817,-10.577067,1
1.287000,537.379150,-197.563126,2552.771973,-23.514053,4.783532,-10.580687,1
1.299000,537.381042,-197.561493,2552.769287,-23.512987,4.775253,-10.577087,1
1.312000,537.385681,-197.545593,2552.786377,-23.551853,4.774466,-10.577161,1
1.324000,537.386536,-197.551163,2552.794434,-23.531912,4.769366,-10.577990,1
1.337000,537.390320,-197.557953,2552.766846,-23.509617,4.783426,-10.576448,1
1.349000,537.377991,-197.567429,2552.759033,-23.496075,4.776649,-10.581372,1
1.362000,537.396057,-197.560104,2552.737061,-23.512087,4.817329,-10.576075,1
1.374000,537.377686,-197.555359,2552.754883,-23.514202,4.774237,-10.580167,1
1.387000,537.377869,-197.561905,2552.746338,-23.516182,4.783438,-10.577795,1
1.399000,537.378662,-197.537491,2552.751465,-23.546947,4.764339,-10.573201,1
1.412000,537.364441,-197.554443,2552.727295,-23.484209,4.769384,-10.578687,1
1.424000,537.379517,-197.554718,2552.720215,-23.514898,4.791873,-10.578725,1
1.437000,537.374084,-197.553360,2552.756836,-23.524771,4.778937,-10.581120,1
1.449000,537.372253,-197.535522,2552.742676,-23.535547,4.770875,-10.575773,1
1.462000,537.374451,-197.549667,2552.739258,-23.513044,4.778521,-10.581991,1
1.474000,537.374451,-197.569672,2552.745850,-23.487146,4.784351,-10.582114,1
1.487000,537.378967,-197.553513,2552.759521,-23.506903,4.783959,-10.579140,1
1.499000,537.370789,-197.539780,2552.777100,-23.525579,4.768137,-10.580566,1
1.512000,537.375183,-197.555710,2552.754883,-23.509050,4.789373,-10.583258,1
1.524000,537.372314,-197.558655,2552.736328,-23.498072,4.786695,-10.582248,1
1.537000,537.366394,-197.539688,2552.770996,-23.523569,4.763819,-10.583269,1
1.549000,537.365906,-197.551361,2552.761230,-23.496723,4.767034,-10.584244,1
1.562000,537.364319,-197.559113,2552.759033,-23.489660,4.773555,-10.584845,1
1.574000,537.356812,-197.540787,2552.786865,-23.523878,4.744539,-10.586002,1
1.587000,537.358032,-197.544495,2552.787842,-23.525246,4.747705,-10.586778,1
1.599000,537.371460,-197.547638,2552.757568,-23.518229,4.803587,-10.581922,1
1.612000,537.368835,-197.544830,2552.744141,-23.514753,4.793571,-10.586121,1
1.624000,537.363586,-197.538925,2552.784180,-23.516043,4.767340,-10.586861,1
1.637000,537.365967,-197.535095,2552.773682,-23.530003,4.792569,-10.590889,1
1.649000,537.357544,-197.521423,2552.786621,-23.544464,4.781850,-10.590937,1
1.662000,537.350464,-197.506912,2552.784668,-23.535549,4.770728,-10.597412,1
1.674000,537.340698,-197.498474,2552.762451,-23.532776,4.732933,-10.602923,1
1.687000,537.318115,-197.491562,2552.680420,-23.481716,4.742997,-10.627275,1
1.699000,537.267151,-197.447250,2552.645996,-23.487150,4.659650,-10.665628,1
1.712000,537.209045,-197.434311,2552.573975,-23.464596,4.596395,-10.727055,1
1.724000,537.140930,-197.395538,2552.547363,-23.479584,4.459792,-10.796553,1
1.737000,537.121277,-197.360947,2552.499268,-23.453035,4.383702,-10.853306,1
1.749000,537.164673,-197.312027,2552.428955,-23.448980,4.295326,-10.903213,1
1.762000,537.228882,-197.244843,2552.318115,-23.436655,4.214643,-10.949016,1
1.774000,537.302368,-197.187851,2552.225830,-23.408354,4.135156,-11.009130,1
1.787000,537.381531,-197.125290,2552.147705,-23.406239,4.066279,-11.067536,1
1.799000,537.448425,-197.073273,2552.065918,-23.382692,3.975452,-11.122628,1
1.812000,537.494385,-197.015793,2552.003174,-23.352695,3.827686,-11.171295,1
1.824000,537.591064,-196.963150,2551.862305,-23.335659,3.831702,-11.220722,1
1.837000,537.672668,-196.875595,2551.814453,-23.344591,3.696232,-11.297166,1
1.849000,537.782288,-196.770355,2551.673828,-23.332767,3.600358,-11.381506,1
1.862000,537.917908,-196.689911,2551.491455,-23.268040,3.528114,-11.476426,1
1.874000,538.044250,-196.575348,2551.348877,-23.242468,3.315717,-11.586997,1
1.887000,538.216187,-196.436661,2551.137695,-23.194777,3.162242,-11.709291,1
1.899000,538.406616,-196.318222,2550.949951,-23.144184,3.006586,-11.829007,1
1.912000,538.569031,-196.166504,2550.715088,-23.085676,2.767981,-11.952374,1
1.924000,538.769836,-196.050827,2550.466797,-23.027412,2.585976,-12.088230,1
1.937000,538.981445,-195.907455,2550.285400,-23.013451,2.438720,-12.208858,1
1.949000,539.152344,-195.779144,2550.098633,-22.998995,2.249482,-12.316635,1
1.962000,539.283142,-195.672180,2549.964355,-22.967926,2.056091,-12.425942,1
1.974000,539.382202,-195.578430,2549.792725,-22.892597,1.943264,-12.520901,1
