,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,0,0,0,0,0,0,0
0.012000,0,0,0,0,0,0,0
0.025000,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0
0.050000,0,0,0,0,0,0,0
0.062000,0,0,0,0,0,0,0
0.075000,0,0,0,0,0,0,0
0.087000,0,0,0,0,0,0,0
0.100000,0,0,0,0,0,0,0
0.112000,212.867599,296.301178,2342.015381,41.439674,-1.441607,50.861462,1
0.125000,0,0,0,0,0,0,0
0.137000,212.871613,296.300903,2342.035400,41.505016,-1.394758,50.854000,1
0.150000,212.863892,296.300262,2342.000244,41.413437,-1.527383,50.874653,1
0.162000,0,0,0,0,0,0,0
0.175000,0,0,0,0,0,0,0
0.187000,0,0,0,0,0,0,0
0.200000,0,0,0,0,0,0,0
0.212000,0,0,0,0,0,0,0
0.225000,0,0,0,0,0,0,0
0.237000,0,0,0,0,0,0,0
0.250000,0,0,0,0,0,0,0
0.262000,0,0,0,0,0,0,0
0.275000,0,0,0,0,0,0,0
0.287000,0,0,0,0,0,0,0
0.300000,212.873001,296.303619,2342.039062,41.456112,-1.382486,50.861668,1
0.312000,212.870041,296.303772,2342.032471,41.433792,-1.398213,50.863991,1
0.325000,212.870087,296.299744,2342.020020,41.438042,-1.353289,50.857624,1
0.337000,0,0,0,0,0,0,0
0.350000,0,0,0,0,0,0,0
0.362000,0,0,0,0,0,0,0
0.375000,0,0,0,0,0,0,0
0.387000,0,0,0,0,0,0,0
0.400000,0,0,0,0,0,0,0
0.412000,0,0,0,0,0,0,0
0.425000,0,0,0,0,0,0,0
0.437000,0,0,0,0,0,0,0
0.450000,0,0,0,0,0,0,0
0.462000,0,0,0,0,0,0,0
0.475000,0,0,0,0,0,0,0
0.487000,212.871857,296.301331,2342.033447,41.403530,-1.438216,50.876598,1
0.500000,212.866867,296.299652,2342.012451,41.457504,-1.424072,50.861385,1
0.512000,212.870163,296.298706,2342.019531,41.462742,-1.406972,50.860851,1
0.525000,212.868484,296.303711,2342.034912,41.419189,-1.431040,50.867435,1
0.537000,0,0,0,0,0,0,0
0.550000,0,0,0,0,0,0,0
0.562000,0,0,0,0,0,0,0
0.575000,0,0,0,0,0,0,0
0.587000,0,0,0,0,0,0,0
0.600000,0,0,0,0,0,0,0
0.612000,0,0,0,0,0,0,0
0.625000,0,0,0,0,0,0,0
0.637000,0,0,0,0,0,0,0
0.650000,0,0,0,0,0,0,0
0.662000,0,0,0,0,0,0,0
0.675000,212.870071,296.300446,2342.016113,41.498001,-1.405034,50.853390,1
0.687000,212.873428,296.303406,2342.042480,41.455845,-1.434805,50.863819,1
0.700000,212.871796,296.303223,2342.041748,41.416626,-1.425409,50.867413,1
0.712000,0,0,0,0,0,0,0
0.725000,0,0,0,0,0,0,0
0.737000,0,0,0,0,0,0,0
0.750000,0,0,0,0,0,0,0
0.762000,0,0,0,0,0,0,0
0.775000,0,0,0,0,0,0,0
0.787000,0,0,0,0,0,0,0
0.800000,0,0,0,0,0,0,0
0.812000,0,0,0,0,0,0,0
0.825000,0,0,0,0,0,0,0
0.837000,0,0,0,0,0,0,0
0.850000,0,0,0,0,0,0,0
0.862000,212.870590,296.301300,2342.034180,41.408710,-1.452149,50.868320,1
0.875000,212.867706,296.300293,2342.021973,41.446510,-1.431073,50.862686,1
0.887000,0,0,0,0,0,0,0
0.900000,212.868118,296.301910,2342.014160,41.427784,-1.439705,50.866760,1
0.912000,0,0,0,0,0,0,0
0.925000,0,0,0,0,0,0,0
0.937000,0,0,0,0,0,0,0
0.950000,0,0,0,0,0,0,0
0.962000,0,0,0,0,0,0,0
0.975000,0,0,0,0,0,0,0
0.987000,0,0,0,0,0,0,0
1.000000,0,0,0,0,0,0,0
1.012000,0,0,0,0,0,0,0
1.025000,0,0,0,0,0,0,0
1.037000,0,0,0,0,0,0,0
1.050000,0,0,0,0,0,0,0
1.062000,0,0,0,0,0,0,0
1.075000,0,0,0,0,0,0,0
1.087000,0,0,0,0,0,0,0
1.100000,0,0,0,0,0,0,0
1.112000,0,0,0,0,0,0,0
1.125000,0,0,0,0,0,0,0
1.137000,0,0,0,0,0,0,0
1.150000,0,0,0,0,0,0,0
1.162000,0,0,0,0,0,0,0
1.175000,0,0,0,0,0,0,0
1.187000,0,0,0,0,0,0,0
1.200000,0,0,0,0,0,0,0
1.212000,0,0,0,0,0,0,0
1.225000,0,0,0,0,0,0,0
1.237000,0,0,0,0,0,0,0
1.250000,0,0,0,0,0,0,0
1.262000,0,0,0,0,0,0,0
1.275000,0,0,0,0,0,0,0
1.287000,0,0,0,0,0,0,0
1.300000,0,0,0,0,0,0,0
1.312000,212.871307,296.275940,2342.044678,41.803467,-1.384260,50.823380,1
1.325000,212.870438,296.273468,2342.046143,41.754906,-1.400790,50.827007,1
1.337000,212.871887,296.267487,2342.055908,41.880192,-1.414941,50.811451,1
1.350000,212.871948,296.264252,2342.050049,41.894012,-1.350337,50.815983,1
1.362000,212.871094,296.262665,2342.044434,41.893490,-1.361317,50.810078,1
1.375000,212.865097,296.266724,2342.031250,41.872593,-1.409279,50.815388,1
1.387000,212.870010,296.277161,2342.047363,41.751228,-1.275483,50.824142,1
1.412000,212.870911,296.277496,2342.051270,41.791908,-1.310721,50.819008,1
1.425000,212.868378,296.275299,2342.034668,41.739220,-1.378055,50.828518,1
1.437000,212.874481,296.292755,2342.064209,41.665222,-1.326049,50.833580,1
1.450000,212.870819,296.286896,2342.036865,41.644913,-1.368624,50.839249,1
1.462000,212.872406,296.286743,2342.052979,41.648193,-1.289354,50.839748,1
1.475000,212.871048,296.285950,2342.034668,41.634617,-1.339374,50.836449,1
1.487000,212.872116,296.295441,2342.044678,41.626488,-1.329704,50.840591,1
1.500000,212.871124,296.294769,2342.032715,41.563873,-1.358045,50.853840,1
1.512000,212.871628,296.297943,2342.041016,41.636692,-1.325949,50.842678,1
1.525000,212.869278,296.292358,2342.010010,41.599133,-1.362999,50.844627,1
1.537000,212.874374,296.300293,2342.040771,41.541901,-1.396794,50.855358,1
1.550000,212.874146,296.299438,2342.042236,41.552288,-1.378675,50.850960,1
1.562000,212.871918,296.301361,2342.037598,41.528488,-1.343349,50.857208,1
1.575000,212.872528,296.302399,2342.028564,41.549805,-1.312556,50.849072,1
1.587000,212.872818,296.306122,2342.041748,41.457264,-1.381883,50.863155,1
1.600000,212.873215,296.304291,2342.030029,41.475403,-1.380904,50.861042,1
1.612000,212.872711,296.306091,2342.031250,41.467560,-1.432378,50.862835,1
1.625000,212.877197,296.310577,2342.060791,41.478382,-1.392672,50.861683,1
1.637000,0,0,0,0,0,0,0
1.650000,212.872528,296.306580,2342.016602,41.400860,-1.439478,50.865723,1
1.662000,212.872162,296.308746,2342.021973,41.426407,-1.328871,50.863674,1
1.675000,0,0,0,0,0,0,0
1.687000,0,0,0,0,0,0,0
1.700000,0,0,0,0,0,0,0
1.712000,0,0,0,0,0,0,0
1.725000,0,0,0,0,0,0,0
1.737000,0,0,0,0,0,0,0
1.750000,0,0,0,0,0,0,0
1.762000,0,0,0,0,0,0,0
1.775000,0,0,0,0,0,0,0
1.787000,212.869568,296.301849,2342.015869,41.467243,-1.469018,50.858742,1
1.800000,212.874298,296.305695,2342.036133,41.484894,-1.433629,50.862747,1
1.812000,212.866989,296.299866,2342.013428,41.467487,-1.422643,50.868187,1
1.825000,212.872406,296.301208,2342.026611,41.469948,-1.406688,50.857796,1
1.837000,0,0,0,0,0,0,0
1.850000,0,0,0,0,0,0,0
1.862000,0,0,0,0,0,0,0
1.875000,0,0,0,0,0,0,0
1.887000,0,0,0,0,0,0,0
1.900000,0,0,0,0,0,0,0
1.912000,0,0,0,0,0,0,0
1.925000,0,0,0,0,0,0,0
1.937000,0,0,0,0,0,0,0
