,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,0,0,0,0,0,0,0
0.012000,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0
0.050000,0,0,0,0,0,0,0
0.062000,0,0,0,0,0,0,0
0.075000,0,0,0,0,0,0,0
0.087000,0,0,0,0,0,0,0
0.100000,0,0,0,0,0,0,0
0.112000,0,0,0,0,0,0,0
0.125000,0,0,0,0,0,0,0
0.137000,0,0,0,0,0,0,0
0.150000,0,0,0,0,0,0,0
0.162000,209.693863,294.785248,2341.656738,41.421581,-1.439500,50.879879,1
0.175000,209.692413,294.786774,2341.658936,41.395798,-1.445526,50.887905,1
0.187000,0,0,0,0,0,0,0
0.200000,209.694702,294.782990,2341.655029,41.386848,-1.429887,50.888187,1
0.212000,0,0,0,0,0,0,0
0.225000,0,0,0,0,0,0,0
0.237000,0,0,0,0,0,0,0
0.250000,0,0,0,0,0,0,0
0.262000,0,0,0,0,0,0,0
0.275000,0,0,0,0,0,0,0
0.287000,0,0,0,0,0,0,0
0.300000,0,0,0,0,0,0,0
0.312000,0,0,0,0,0,0,0
0.325000,0,0,0,0,0,0,0
0.337000,0,0,0,0,0,0,0
0.350000,0,0,0,0,0,0,0
0.362000,0,0,0,0,0,0,0
0.375000,0,0,0,0,0,0,0
0.387000,0,0,0,0,0,0,0
0.412000,209.689941,294.787140,2341.656494,41.367462,-1.453292,50.888821,1
0.425000,0,0,0,0,0,0,0
0.437000,209.691574,294.785614,2341.661133,41.391060,-1.420952,50.886456,1
0.450000,0,0,0,0,0,0,0
0.462000,0,0,0,0,0,0,0
0.475000,0,0,0,0,0,0,0
0.487000,0,0,0,0,0,0,0
0.500000,0,0,0,0,0,0,0
0.512000,0,0,0,0,0,0,0
0.525000,0,0,0,0,0,0,0
0.537000,0,0,0,0,0,0,0
0.550000,0,0,0,0,0,0,0
0.562000,0,0,0,0,0,0,0
0.575000,0,0,0,0,0,0,0
0.587000,0,0,0,0,0,0,0
0.600000,209.688171,294.786560,2341.650391,41.297997,-1.513957,50.900017,1
0.612000,0,0,0,0,0,0,0
0.625000,209.693253,294.785065,2341.661621,41.426571,-1.475056,50.874996,1
0.637000,209.690231,294.786743,2341.662354,41.381241,-1.495806,50.886147,1
0.650000,209.695053,294.789856,2341.666260,41.452187,-1.428115,50.877129,1
0.662000,0,0,0,0,0,0,0
0.675000,0,0,0,0,0,0,0
0.687000,0,0,0,0,0,0,0
0.700000,0,0,0,0,0,0,0
0.712000,0,0,0,0,0,0,0
0.725000,0,0,0,0,0,0,0
0.737000,0,0,0,0,0,0,0
0.750000,0,0,0,0,0,0,0
0.762000,0,0,0,0,0,0,0
0.775000,0,0,0,0,0,0,0
0.787000,0,0,0,0,0,0,0
0.800000,0,0,0,0,0,0,0
0.812000,209.692917,294.787292,2341.669189,41.397938,-1.495872,50.877022,1
0.825000,0,0,0,0,0,0,0
0.837000,0,0,0,0,0,0,0
0.850000,209.691071,294.787140,2341.663818,41.413628,-1.419548,50.877872,1
0.862000,209.693024,294.784851,2341.657715,41.433357,-1.443393,50.878979,1
0.875000,0,0,0,0,0,0,0
0.887000,209.693192,294.783264,2341.656494,41.391224,-1.489251,50.887264,1
0.900000,0,0,0,0,0,0,0
0.912000,0,0,0,0,0,0,0
0.925000,0,0,0,0,0,0,0
0.937000,0,0,0,0,0,0,0
0.950000,0,0,0,0,0,0,0
0.962000,0,0,0,0,0,0,0
0.975000,0,0,0,0,0,0,0
0.987000,0,0,0,0,0,0,0
1.000000,0,0,0,0,0,0,0
1.012000,0,0,0,0,0,0,0
1.025000,0,0,0,0,0,0,0
1.037000,0,0,0,0,0,0,0
1.050000,0,0,0,0,0,0,0
1.062000,0,0,0,0,0,0,0
1.075000,0,0,0,0,0,0,0
1.100000,209.692505,294.786865,2341.659668,41.365028,-1.512110,50.893654,1
1.112000,209.696655,294.788055,2341.673828,41.351486,-1.468189,50.895638,1
1.125000,209.694794,294.787201,2341.655518,41.423450,-1.433624,50.879883,1
1.137000,0,0,0,0,0,0,0
1.150000,0,0,0,0,0,0,0
1.162000,0,0,0,0,0,0,0
1.175000,0,0,0,0,0,0,0
1.187000,0,0,0,0,0,0,0
1.200000,0,0,0,0,0,0,0
1.212000,0,0,0,0,0,0,0
1.225000,0,0,0,0,0,0,0
1.237000,0,0,0,0,0,0,0
1.250000,0,0,0,0,0,0,0
1.262000,0,0,0,0,0,0,0
1.275000,0,0,0,0,0,0,0
1.287000,0,0,0,0,0,0,0
1.300000,0,0,0,0,0,0,0
1.312000,0,0,0,0,0,0,0
1.325000,0,0,0,0,0,0,0
1.337000,209.697418,294.787933,2341.683350,41.424614,-1.482412,50.880531,1
1.350000,209.690887,294.786041,2341.642578,41.363884,-1.492036,50.890488,1
1.362000,209.692719,294.787872,2341.653809,41.418491,-1.460784,50.878822,1
1.375000,0,0,0,0,0,0,0
1.387000,0,0,0,0,0,0,0
1.400000,0,0,0,0,0,0,0
1.412000,0,0,0,0,0,0,0
1.425000,0,0,0,0,0,0,0
1.437000,0,0,0,0,0,0,0
1.450000,0,0,0,0,0,0,0
1.462000,0,0,0,0,0,0,0
1.475000,0,0,0,0,0,0,0
1.487000,0,0,0,0,0,0,0
1.500000,0,0,0,0,0,0,0
1.512000,0,0,0,0,0,0,0
1.525000,0,0,0,0,0,0,0
1.537000,0,0,0,0,0,0,0
1.550000,209.695648,294.786011,2341.657959,41.378258,-1.440795,50.886101,1
1.562000,209.698395,294.786072,2341.680176,41.390694,-1.421768,50.888241,1
1.575000,209.693878,294.788513,2341.668457,41.354923,-1.508579,50.891796,1
1.587000,0,0,0,0,0,0,0
1.600000,0,0,0,0,0,0,0
1.612000,0,0,0,0,0,0,0
1.625000,0,0,0,0,0,0,0
1.637000,0,0,0,0,0,0,0
1.650000,0,0,0,0,0,0,0
1.662000,0,0,0,0,0,0,0
1.675000,0,0,0,0,0,0,0
1.687000,0,0,0,0,0,0,0
1.700000,0,0,0,0,0,0,0
1.712000,0,0,0,0,0,0,0
1.725000,0,0,0,0,0,0,0
1.737000,0,0,0,0,0,0,0
1.750000,0,0,0,0,0,0,0
1.762000,0,0,0,0,0,0,0
1.775000,0,0,0,0,0,0,0
1.787000,209.689499,294.786011,2341.648438,41.370907,-1.492483,50.884243,1
1.800000,209.693085,294.790588,2341.662354,41.382690,-1.448547,50.882572,1
1.812000,209.689438,294.784332,2341.647705,41.339157,-1.529655,50.895817,1
1.825000,209.695892,294.787018,2341.671387,41.383266,-1.451217,50.887535,1
1.837000,0,0,0,0,0,0,0
1.850000,0,0,0,0,0,0,0
1.862000,0,0,0,0,0,0,0
1.875000,0,0,0,0,0,0,0
1.887000,0,0,0,0,0,0,0
1.900000,0,0,0,0,0,0,0
1.912000,0,0,0,0,0,0,0
1.925000,0,0,0,0,0,0,0
1.937000,0,0,0,0,0,0,0
1.950000,0,0,0,0,0,0,0
1.962000,0,0,0,0,0,0,0
1.975000,0,0,0,0,0,0,0
1.987000,0,0,0,0,0,0,0
2.000000,0,0,0,0,0,0,0
2.012000,0,0,0,0,0,0,0
2.025000,209.692535,294.787201,2341.661377,41.425865,-1.467046,50.878315,1
2.037000,209.694046,294.784576,2341.662109,41.415264,-1.450708,50.882599,1
2.050000,209.694443,294.786530,2341.661133,41.377102,-1.429464,50.889370,1
2.062000,0,0,0,0,0,0,0
2.075000,0,0,0,0,0,0,0
2.087000,0,0,0,0,0,0,0
2.100000,0,0,0,0,0,0,0
2.112000,0,0,0,0,0,0,0
2.125000,0,0,0,0,0,0,0
2.137000,0,0,0,0,0,0,0
2.150000,0,0,0,0,0,0,0
2.162000,0,0,0,0,0,0,0
2.175000,0,0,0,0,0,0,0
2.187000,0,0,0,0,0,0,0
2.200000,0,0,0,0,0,0,0
