,polo,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,357.000092,108.244736,2,195.575928,-0.072584,-1.413616,-0.066875,1
0.033000,356.999573,108.247978,2,195.570068,-0.078005,-1.399233,-0.065501,1
0.066000,357.093872,108.233551,2,195.543213,-0.114081,-1.685786,-0.120612,1
0.099000,357.093170,108.236259,2,195.545654,-0.118249,-1.687803,-0.119367,1
0.133000,357.034973,108.223335,2,195.635742,-0.138100,-1.980232,-0.179589,1
0.166000,357.091888,108.236572,2,195.552246,-0.107963,-1.682495,-0.121175,1
0.199000,357.034058,108.219925,2,195.629883,-0.122382,-1.945626,-0.179655,1
0.233000,357.031860,108.223015,2,195.637939,-0.128645,-1.948158,-0.178620,1
0.266000,357.031647,108.221375,2,195.639648,-0.124615,-1.997395,-0.183545,1
0.299000,357.029633,108.221344,2,195.637695,-0.132514,-1.946408,-0.175519,1
0.333000,357.031708,108.222763,2,195.643311,-0.120116,-1.978439,-0.182556,1
0.366000,357.030945,108.216881,2,195.639648,-0.136204,-1.980633,-0.177330,1
0.399000,357.029175,108.222084,2,195.646240,-0.126756,-1.961960,-0.177842,1
0.433000,357.029816,108.220100,2,195.653809,-0.126583,-1.975908,-0.180703,1
0.466000,357.031799,108.223595,2,195.655029,-0.131074,-1.976419,-0.179653,1
0.499000,357.032806,108.223030,2,195.659180,-0.138515,-1.992361,-0.179980,1
0.533000,357.033112,108.222778,2,195.637939,-0.124386,-1.952793,-0.179960,1
0.566000,357.032715,108.219849,2,195.643066,-0.136487,-1.980219,-0.178671,1
0.599000,357.029968,108.220131,2,195.642090,-0.132974,-1.978142,-0.179164,1
0.633000,357.028503,108.217865,2,195.632080,-0.132253,-1.973934,-0.179029,1
0.666000,357.033142,108.221893,2,195.647217,-0.132736,-2.005331,-0.180785,1
0.699000,357.029053,108.220703,2,195.635742,-0.137903,-1.994456,-0.180920,1
0.733000,357.028839,108.219894,2,195.631592,-0.131746,-1.961077,-0.179208,1
0.766000,357.031586,108.223206,2,195.641113,-0.128740,-1.955715,-0.177677,1
0.799000,357.031067,108.220428,2,195.635254,-0.128285,-1.950462,-0.177210,1
0.833000,357.031189,108.221359,2,195.638916,-0.131535,-1.966670,-0.179362,1
0.866000,357.029297,108.219101,2,195.639404,-0.124778,-1.968648,-0.179962,1
0.899000,357.031311,108.222504,2,195.647461,-0.127129,-2.006547,-0.182646,1
0.932000,357.031891,108.222488,2,195.638672,-0.128137,-1.955552,-0.178847,1
0.966000,357.030914,108.223076,2,195.635498,-0.127901,-1.974216,-0.180634,1
0.999000,357.030365,108.221176,2,195.628662,-0.132441,-1.963338,-0.178380,1
1.032000,357.031891,108.222939,2,195.643066,-0.132658,-1.973772,-0.179066,1
1.066000,357.029053,108.219498,2,195.629883,-0.138476,-1.969784,-0.176616,1
1.099000,357.028534,108.220001,2,195.628662,-0.139399,-1.980709,-0.179160,1
1.132000,357.028503,108.221687,2,195.636230,-0.130421,-1.964707,-0.177769,1
1.166000,357.031952,108.219650,2,195.642822,-0.130116,-1.973469,-0.180124,1
1.199000,357.026428,108.220497,2,195.619141,-0.133606,-1.959809,-0.178092,1
1.232000,357.030609,108.221428,2,195.633057,-0.128545,-1.967715,-0.178363,1
1.266000,357.028870,108.219780,2,195.627930,-0.131226,-1.962412,-0.179353,1
1.299000,357.026672,108.220367,2,195.628662,-0.125804,-1.975184,-0.181964,1
1.332000,357.029755,108.222145,2,195.636963,-0.135059,-1.980318,-0.178578,1
1.366000,357.027344,108.221176,2,195.631104,-0.133171,-2.006613,-0.181585,1
1.399000,357.029633,108.220726,2,195.630127,-0.125555,-1.940956,-0.178635,1
1.432000,357.030334,108.221085,2,195.639648,-0.130542,-1.974279,-0.179510,1
1.466000,357.033417,108.224762,2,195.642822,-0.128377,-1.921031,-0.176281,1
1.499000,357.031616,108.221649,2,195.633789,-0.129946,-1.987193,-0.178655,1
1.532000,357.032074,108.220886,2,195.644775,-0.126444,-2.002843,-0.183065,1
1.566000,357.032166,108.223206,2,195.638428,-0.130479,-1.968711,-0.180088,1
1.599000,357.029694,108.222839,2,195.624268,-0.129524,-1.933254,-0.177310,1
1.632000,357.032715,108.223083,2,195.636963,-0.134344,-1.975968,-0.180500,1
1.666000,357.030640,108.251328,2,195.659912,-0.131674,-1.992464,-0.183400,1
1.699000,357.039734,108.277779,2,195.667725,-0.123980,-1.952594,-0.184852,1
1.732000,357.015625,108.273529,2,195.701904,-0.097065,-2.009553,-0.185925,1
1.766000,356.981689,108.308205,2,195.583740,-0.019533,-1.977505,-0.184046,1
1.799000,356.949829,108.393105,2,195.271973,0.154926,-1.998442,-0.196499,1
1.832000,356.892822,108.523140,2,194.644775,0.460885,-1.993010,-0.211353,1
1.866000,356.871094,108.768547,2,193.574219,0.936540,-2.023653,-0.242831,1
1.899000,356.882202,109.136574,2,192.061523,1.621199,-2.082946,-0.287912,1
1.932000,356.907928,109.699005,2,189.916016,2.595803,-1.942459,-0.327791,1
1.966000,356.876648,110.472946,2,186.845703,3.957036,-1.975070,-0.403598,1
1.999000,356.763153,111.591827,2,183.115967,5.640579,-1.979385,-0.483527,1
2.032000,356.756866,113.023392,2,178.126221,7.522533,-2.077196,-0.598492,1
2.066000,356.797577,114.577690,2,173.657959,9.462822,-2.015091,-0.694733,1
2.099000,356.887726,116.260712,2,169.002197,11.378813,-2.059943,-0.800611,1
2.132000,356.832306,118.011795,2,165.188965,13.245164,-1.955830,-0.861410,1
2.165000,356.813202,119.949089,2,161.426025,15.091829,-1.960427,-0.985011,1
2.199000,356.607544,121.599915,2,157.943359,16.634281,-1.992706,-1.057279,1
2.232000,356.507477,123.010941,2,155.187988,17.871923,-1.946266,-1.110669,1
2.265000,356.511780,124.164810,2,152.750488,18.786175,-1.918528,-1.135230,1
2.299000,356.563263,124.854797,2,151.837402,19.482458,-1.016315,-0.758231,1
2.332000,356.595795,125.286102,2,151.125732,19.782181,-1.190132,-0.845227,1
2.365000,356.609558,125.302612,2,151.318604,19.830179,-1.073073,-0.811365,1
2.399000,356.532379,124.947098,2,151.685059,19.547174,-1.100659,-0.800362,1
2.432000,356.523193,124.315865,2,152.862793,18.937155,-1.839490,-1.120359,1
2.465000,356.551758,123.167824,2,154.775879,18.054230,-1.969677,-1.119003,1
2.499000,356.611877,121.783607,2,157.244629,16.853884,-2.017454,-1.067673,1
2.532000,356.689423,120.118645,2,160.586914,15.360749,-1.926904,-0.965738,1
2.565000,356.694580,118.299835,2,164.190430,13.557022,-2.035623,-0.889454,1
2.599000,356.726288,116.385658,2,168.614990,11.697745,-2.028954,-0.799074,1
2.632000,356.745697,114.814827,2,172.900391,9.754598,-2.061981,-0.715377,1
2.665000,356.720001,113.148827,2,177.826904,7.878786,-1.996547,-0.597181,1
2.699000,356.744598,111.775070,2,181.796875,5.962952,-1.996022,-0.502177,1
2.732000,356.747681,110.561905,2,185.941162,4.189090,-2.003864,-0.409019,1
2.765000,356.946716,109.757996,2,189.312988,2.726396,-1.965772,-0.342297,1
2.799000,356.932678,109.141335,2,192.353271,1.545648,-2.034002,-0.278663,1
2.832000,357.017212,108.690323,2,194.353760,0.688622,-1.980132,-0.236178,1
2.865000,356.941498,108.495834,2,195.526611,0.123994,-1.987386,-0.210308,1
2.899000,357.027802,108.409027,2,196.143799,-0.103053,-1.963149,-0.205603,1
2.932000,356.814178,108.479973,2,195.773682,-0.133880,-1.994757,-0.211723,1
2.965000,355.256683,108.301102,2,195.622070,-0.131711,-2.038890,-0.194774,1
2.999000,352.414276,108.189606,2,195.186768,-0.133847,-2.087879,-0.179615,1
3.032000,348.158936,108.243301,2,195.402832,-0.115547,-2.026106,-0.178936,1
3.065000,342.538727,108.385414,2,195.590088,-0.145741,-1.918929,-0.181216,1
3.099000,335.455170,108.533607,2,196.115967,-0.142496,-1.937923,-0.187316,1
3.132000,327.136902,108.516808,2,196.389160,-0.147463,-1.875890,-0.164971,1
3.165000,318.921204,108.700523,2,196.608154,-0.149081,-1.896551,-0.183906,1
3.199000,310.582520,108.794289,2,196.496826,-0.151021,-1.841272,-0.170087,1
3.232000,302.435425,108.851677,2,196.342041,-0.141842,-1.532856,-0.123773,1
3.265000,294.088837,108.894905,2,196.359619,-0.147312,-1.566321,-0.115131,1
3.298000,285.909790,109.112190,2,196.591309,-0.136424,-1.541818,-0.139376,1
3.332000,277.327209,109.102188,2,196.869873,-0.115159,-1.183883,-0.060129,1
3.365000,268.917358,109.230354,2,197.080322,-0.118691,-1.187367,-0.069424,1
3.398000,260.548553,109.358833,2,197.261475,-0.121223,-1.157644,-0.070461,1
3.432000,252.232040,109.350090,2,197.385498,-0.117552,-1.095757,-0.055848,1
3.465000,243.933487,109.435143,2,197.626709,-0.044893,-0.458662,-0.014582,1
3.498000,235.691330,109.609055,2,197.663330,-0.050773,-0.381656,-0.025523,1
3.532000,227.316711,109.594490,2,197.756104,-0.053918,-0.319760,-0.010325,1
3.565000,218.904022,109.768822,2,197.968018,-0.064486,-0.301457,-0.015515,1
3.598000,210.575577,109.878296,2,198.216797,-0.044001,-0.200838,-0.015519,1
3.632000,202.168991,109.872490,2,198.465576,-0.049260,-0.221020,-0.004377,1
3.665000,193.955978,110.049622,2,198.520508,-0.046924,-0.188909,-0.017207,1
3.698000,185.651703,110.176399,2,198.477783,-0.072537,-0.236870,-0.022283,1
3.732000,177.473236,110.101227,2,198.543457,-0.051502,-0.158516,0.001690,1
3.765000,170.752975,110.345314,2,198.721924,-0.050703,-0.063599,-0.012694,1
3.798000,165.325104,110.436760,2,199.013184,-0.058809,-0.031345,-0.013873,1
3.832000,161.189941,110.397751,2,199.329102,-0.054558,-0.024372,-0.004779,1
3.865000,158.427521,110.385918,2,199.402344,-0.062713,-0.018080,-0.003530,1
3.898000,157.043747,110.401382,2,199.283936,-0.052116,0.027423,-0.000948,1
3.932000,156.922577,110.401070,2,199.069580,-0.049887,-0.046903,-0.009514,1
3.965000,156.869553,110.334373,2,197.963135,-0.038128,0.037679,0.006755,1
3.998000,156.884201,110.386078,2,195.991211,-0.050785,-0.019128,-0.003552,1
4.032000,156.685074,110.352066,2,192.306396,-0.050165,0.065713,0.003568,1
4.065000,156.549683,110.433456,2,186.969727,-0.058771,0.016588,-0.002849,1
4.098000,156.369415,110.456573,2,179.961670,-0.043006,0.034546,-0.007229,1
4.132000,156.260422,110.363373,2,171.776855,-0.046902,0.026607,0.000404,1
4.165000,156.247604,110.351845,2,163.283936,-0.040692,0.076103,-0.001023,1
