,hand_tool_model,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,0,0,0,0,0,0,0
0.012000,0,0,0,0,0,0,0
0.024000,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0
0.049000,533.435852,-198.816132,2554.773926,-23.043209,2.178684,-12.316109,1
0.062000,533.428589,-198.845749,2554.754883,-23.001436,2.178830,-12.322943,1
0.074000,533.432190,-198.865585,2554.727539,-22.975714,2.196750,-12.322698,1
0.087000,533.425476,-198.839508,2554.785645,-23.012167,2.161508,-12.327328,1
0.099000,533.425415,-198.834763,2554.764404,-23.012428,2.165757,-12.319472,1
0.112000,533.424133,-198.844620,2554.744141,-23.001480,2.168033,-12.325885,1
0.124000,533.440979,-198.857819,2554.764893,-22.979460,2.187353,-12.324627,1
0.137000,533.471558,-198.832474,2554.727539,-23.010109,2.246344,-12.307112,1
0.149000,533.468933,-198.841965,2554.714844,-22.993458,2.250302,-12.312797,1
0.162000,533.442627,-198.838486,2554.761230,-23.018053,2.180350,-12.320809,1
0.174000,533.457336,-198.843658,2554.697510,-22.991920,2.236059,-12.314726,1
0.187000,533.481750,-198.852798,2554.703369,-22.980581,2.288684,-12.306740,1
0.199000,533.472717,-198.857239,2554.716309,-22.970440,2.279937,-12.310467,1
0.212000,533.477783,-198.826767,2554.717773,-23.031433,2.278528,-12.307060,1
0.224000,533.482117,-198.853836,2554.714600,-22.991989,2.284913,-12.307487,1
0.237000,533.458252,-198.836945,2554.746338,-23.004946,2.219924,-12.306124,1
0.249000,533.470825,-198.835571,2554.717041,-23.000309,2.272902,-12.311355,1
0.262000,533.452332,-198.845123,2554.726807,-22.997725,2.221451,-12.312667,1
0.274000,533.460510,-198.838974,2554.715332,-23.015003,2.239411,-12.310055,1
0.287000,533.459167,-198.834656,2554.736328,-22.997026,2.230832,-12.311676,1
0.299000,533.461853,-198.843369,2554.701660,-22.993055,2.247997,-12.308068,1
0.312000,533.445557,-198.848373,2554.734131,-22.978718,2.197839,-12.312421,1
0.324000,533.466858,-198.831131,2554.705322,-22.998859,2.256838,-12.313920,1
0.337000,533.447693,-198.837250,2554.742432,-22.981800,2.195182,-12.307482,1
0.349000,533.450500,-198.842621,2554.716309,-22.997383,2.228108,-12.314878,1
0.362000,533.446228,-198.825363,2554.730957,-23.007830,2.204183,-12.311937,1
0.374000,533.447754,-198.837296,2554.745117,-22.996088,2.211657,-12.310535,1
0.387000,533.445007,-198.843185,2554.767822,-23.004604,2.198103,-12.310723,1
0.399000,533.436340,-198.830978,2554.766113,-23.004549,2.182153,-12.311011,1
0.412000,533.445068,-198.842682,2554.732178,-22.977966,2.223917,-12.309274,1
0.424000,533.437988,-198.848465,2554.739746,-22.983061,2.204036,-12.316319,1
0.437000,533.434509,-198.837830,2554.718018,-22.976549,2.196553,-12.311425,1
0.449000,533.445068,-198.822998,2554.728027,-23.011904,2.209776,-12.313057,1
0.462000,533.439026,-198.852020,2554.701660,-22.961321,2.217501,-12.320482,1
0.474000,533.452332,-198.843353,2554.708984,-22.991209,2.227874,-12.309928,1
0.487000,533.447876,-198.833817,2554.707520,-22.981634,2.224810,-12.307626,1
0.499000,533.456238,-198.839905,2554.695801,-22.997124,2.246703,-12.316197,1
0.512000,533.444214,-198.860519,2554.708740,-22.959438,2.225751,-12.317227,1
0.524000,533.433655,-198.844940,2554.734619,-22.959246,2.186980,-12.312285,1
0.537000,533.435547,-198.824829,2554.709961,-23.010450,2.192764,-12.315464,1
0.549000,533.444214,-198.847473,2554.706299,-22.985992,2.225522,-12.315141,1
0.562000,533.442932,-198.845520,2554.730469,-22.990952,2.212408,-12.310412,1
0.574000,533.445984,-198.844528,2554.696045,-22.965994,2.237593,-12.314029,1
0.587000,533.444946,-198.844315,2554.705322,-22.981415,2.218119,-12.313602,1
0.599000,533.454590,-198.836426,2554.688477,-23.012857,2.239158,-12.310419,1
0.612000,533.453064,-198.838913,2554.702148,-22.992931,2.228226,-12.316510,1
0.624000,533.454468,-198.835220,2554.730225,-22.994995,2.217079,-12.307375,1
0.637000,533.447205,-198.835648,2554.704834,-22.996956,2.225427,-12.314666,1
0.649000,533.436462,-198.839020,2554.716797,-22.978815,2.196097,-12.316792,1
0.662000,533.440918,-198.851364,2554.693359,-22.961975,2.226517,-12.319134,1
0.674000,533.446777,-198.840912,2554.683594,-22.986210,2.225111,-12.315314,1
0.687000,533.446716,-198.841949,2554.689453,-22.972687,2.234809,-12.314733,1
0.699000,533.447510,-198.844193,2554.694336,-22.972061,2.236489,-12.314309,1
0.712000,533.454407,-198.835037,2554.704346,-22.991676,2.238948,-12.310020,1
0.724000,533.451599,-198.840775,2554.691895,-22.982939,2.242237,-12.311373,1
0.737000,533.446411,-198.842300,2554.697021,-22.971977,2.230121,-12.308868,1
0.749000,533.449646,-198.853088,2554.707520,-22.962269,2.232791,-12.316716,1
0.762000,533.459900,-198.836304,2554.694336,-23.001417,2.246933,-12.309354,1
0.774000,533.451538,-198.848602,2554.685303,-22.954205,2.238821,-12.311473,1
0.787000,533.448120,-198.839722,2554.685059,-22.986233,2.221019,-12.312435,1
0.799000,533.459534,-198.843262,2554.706299,-22.986532,2.245480,-12.312014,1
0.812000,533.450256,-198.843384,2554.692871,-22.965979,2.233564,-12.314059,1
0.824000,533.469971,-198.834671,2554.695312,-22.996502,2.265500,-12.304841,1
0.837000,533.444397,-198.852737,2554.698486,-22.973183,2.227662,-12.317112,1
0.849000,533.453186,-198.832230,2554.693115,-23.008862,2.235849,-12.311820,1
0.862000,533.461670,-198.830246,2554.685059,-23.005236,2.262262,-12.312220,1
0.874000,533.443481,-198.851883,2554.697510,-22.960190,2.229630,-12.315239,1
0.887000,533.456299,-198.844589,2554.678955,-22.971479,2.254253,-12.311149,1
0.899000,533.438538,-198.827744,2554.718750,-23.004858,2.199104,-12.313988,1
0.912000,533.447998,-198.840881,2554.680664,-22.974232,2.236144,-12.314537,1
0.924000,533.438721,-198.836395,2554.717529,-22.990135,2.200650,-12.313873,1
0.937000,533.447754,-198.839600,2554.709961,-22.982109,2.222307,-12.311092,1
0.949000,533.452759,-198.841003,2554.683350,-22.980812,2.237638,-12.311657,1
0.962000,533.444824,-198.827316,2554.718994,-23.008656,2.207357,-12.312357,1
0.974000,533.456421,-198.835602,2554.700928,-22.994829,2.240156,-12.311179,1
0.987000,533.447205,-198.831558,2554.713379,-23.006445,2.218072,-12.310383,1
0.999000,533.455139,-198.837799,2554.706787,-22.988428,2.239214,-12.311397,1
1.012000,533.449280,-198.835312,2554.695557,-22.986412,2.232394,-12.310126,1
1.024000,533.439880,-198.833298,2554.702637,-22.989811,2.216761,-12.309142,1
1.037000,533.444214,-198.839279,2554.713135,-22.990515,2.231569,-12.310423,1
1.049000,533.451782,-198.839188,2554.684082,-22.986807,2.263703,-12.309477,1
1.062000,533.461121,-198.823532,2554.713135,-23.023468,2.256955,-12.305330,1
1.074000,533.457397,-198.834869,2554.677979,-23.003195,2.262043,-12.309369,1
1.087000,533.447449,-198.846176,2554.704346,-22.961878,2.238956,-12.311993,1
1.099000,533.444824,-198.825974,2554.687256,-22.998575,2.225050,-12.313377,1
1.112000,533.448120,-198.838898,2554.679688,-22.989893,2.236722,-12.315776,1
1.124000,533.449036,-198.854736,2554.688721,-22.951815,2.235741,-12.316041,1
1.137000,533.448425,-198.835770,2554.695801,-22.982750,2.228115,-12.312106,1
1.149000,533.468750,-198.837570,2554.692871,-22.996300,2.267193,-12.309021,1
1.162000,533.452332,-198.846497,2554.711670,-22.978861,2.232487,-12.313294,1
1.174000,533.471008,-198.836136,2554.685303,-22.997101,2.274147,-12.309529,1
1.187000,533.465271,-198.836716,2554.712891,-23.003429,2.252243,-12.310975,1
1.199000,533.448975,-198.844116,2554.717285,-22.982656,2.225478,-12.310478,1
