,hand_tool_model,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,0,0,0,0,0,0,0
0.012000,0,0,0,0,0,0,0
0.024000,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0
0.049000,818.702087,-944.608521,1191.615601,-21.531525,-3.886195,-16.621511,1
0.062000,819.420105,-945.163452,1192.074219,-21.544741,-3.924332,-16.623701,1
0.074000,818.393494,-943.795471,1191.078003,-21.498869,-3.867623,-16.632250,1
0.087000,817.780640,-945.034302,1191.781738,-21.552872,-3.870420,-16.645496,1
0.099000,817.692078,-945.851501,1192.262085,-21.580269,-3.890781,-16.665154,1
0.112000,818.186462,-945.155762,1191.944458,-21.544039,-3.902913,-16.670366,1
0.124000,819.307617,-944.835693,1191.834717,-21.547359,-3.891874,-16.579802,1
0.137000,817.689392,-944.582764,1191.398193,-21.544441,-3.843706,-16.616091,1
0.149000,818.781799,-944.219849,1191.365356,-21.520449,-3.876236,-16.605877,1
0.162000,819.088989,-944.495911,1191.623169,-21.522240,-3.901791,-16.622307,1
0.174000,819.178345,-944.319092,1191.541138,-21.516876,-3.897829,-16.613207,1
0.187000,819.748596,-944.912781,1191.982666,-21.536869,-3.925976,-16.606407,1
0.199000,820.452271,-944.879944,1192.125854,-21.525286,-3.957279,-16.612795,1
0.212000,821.013306,-944.360107,1191.915894,-21.494923,-3.975027,-16.617498,1
0.224000,819.784912,-944.671936,1191.850464,-21.525436,-3.925656,-16.610014,1
0.237000,819.435608,-944.134827,1191.463379,-21.506542,-3.906562,-16.614521,1
0.249000,818.945251,-944.642639,1191.659546,-21.536512,-3.887282,-16.603010,1
0.262000,819.305237,-944.689636,1191.755493,-21.531021,-3.907540,-16.611908,1
0.274000,819.560303,-944.154236,1191.507812,-21.503819,-3.914207,-16.619308,1
0.287000,820.253601,-944.917725,1192.101562,-21.530407,-3.947669,-16.607431,1
0.299000,819.552185,-944.115356,1191.501953,-21.501102,-3.914523,-16.621527,1
0.312000,819.286499,-944.603210,1191.729370,-21.527233,-3.906072,-16.613060,1
0.324000,819.613525,-944.681641,1191.839233,-21.530233,-3.915643,-16.602694,1
0.337000,818.803284,-944.605286,1191.608887,-21.533442,-3.885937,-16.611534,1
0.349000,818.243774,-944.449036,1191.428955,-21.534260,-3.860895,-16.611359,1
0.362000,819.357849,-945.467285,1192.241455,-21.565245,-3.916313,-16.602758,1
0.374000,818.909546,-944.362183,1191.491699,-21.522696,-3.886565,-16.610689,1
0.387000,818.186462,-943.948730,1191.114014,-21.513489,-3.853348,-16.614752,1
0.399000,819.204529,-944.175659,1191.461426,-21.508003,-3.901660,-16.621649,1
0.412000,818.855225,-944.724121,1191.697998,-21.537209,-3.890577,-16.613085,1
0.424000,819.289795,-944.499268,1191.678223,-21.524033,-3.903597,-16.609789,1
0.437000,819.716797,-944.855896,1191.976562,-21.532125,-3.928115,-16.613867,1
0.449000,819.888184,-945.085938,1192.131226,-21.541277,-3.935270,-16.607664,1
0.462000,818.887451,-945.180359,1191.980347,-21.557922,-3.894550,-16.605724,1
0.474000,818.977783,-944.653137,1191.707886,-21.534418,-3.893347,-16.610249,1
0.487000,819.032288,-944.136108,1191.409180,-21.511015,-3.890005,-16.613968,1
0.499000,819.810913,-943.863770,1191.389893,-21.490059,-3.919006,-16.615688,1
0.512000,819.569214,-944.128113,1191.513184,-21.504644,-3.911898,-16.613726,1
0.524000,819.430664,-944.820007,1191.895142,-21.534506,-3.915474,-16.613613,1
0.537000,818.510559,-944.367493,1191.423950,-21.529016,-3.868518,-16.607603,1
0.549000,819.067566,-944.946716,1191.883789,-21.546417,-3.899371,-16.607515,1
0.562000,818.402344,-944.965759,1191.762573,-21.551601,-3.877810,-16.618422,1
0.574000,818.980103,-944.706299,1191.705078,-21.536720,-3.894332,-16.611050,1
0.587000,819.352417,-944.602356,1191.722290,-21.526962,-3.909497,-16.614439,1
0.599000,819.079956,-943.573486,1191.035034,-21.486891,-3.886722,-16.620659,1
0.612000,818.502197,-943.722595,1191.001221,-21.504961,-3.857621,-16.605944,1
0.624000,819.317566,-943.797119,1191.210205,-21.497093,-3.893796,-16.609547,1
0.637000,819.072815,-944.243774,1191.408936,-21.516972,-3.892254,-16.614094,1
0.649000,819.630310,-944.325073,1191.599243,-21.514862,-3.914932,-16.611076,1
0.662000,819.185120,-944.423523,1191.570801,-21.523062,-3.899419,-16.614031,1
0.674000,819.047974,-943.986450,1191.274536,-21.505943,-3.890273,-16.618488,1
0.687000,818.751770,-944.141418,1191.304077,-21.513550,-3.883767,-16.625214,1
0.699000,819.292419,-943.781677,1191.188599,-21.492250,-3.901155,-16.625095,1
0.712000,819.268738,-943.739990,1191.161621,-21.488823,-3.903159,-16.631809,1
0.724000,819.070740,-944.906799,1191.818481,-21.543707,-3.904767,-16.618351,1
0.737000,819.001282,-943.361145,1190.886475,-21.474348,-3.890843,-16.639059,1
0.749000,818.585327,-943.736206,1191.016602,-21.495863,-3.877281,-16.635042,1
0.762000,819.547302,-944.078613,1191.416870,-21.497747,-3.923604,-16.638870,1
0.774000,819.341858,-943.244568,1190.897095,-21.459139,-3.914697,-16.661200,1
0.787000,821.144226,-943.853271,1191.608887,-21.458632,-4.003419,-16.673843,1
0.799000,819.824463,-943.734009,1191.204468,-21.464231,-3.959064,-16.696922,1
0.812000,821.195679,-944.136353,1191.664917,-21.451235,-4.041571,-16.743431,1
0.824000,823.690125,-945.096863,1192.602051,-21.441229,-4.188811,-16.812134,1
0.837000,823.556030,-945.964233,1192.981201,-21.447987,-4.245490,-16.919233,1
0.849000,823.385864,-947.018372,1193.441772,-21.444216,-4.331928,-17.081093,1
0.862000,823.314636,-948.531433,1194.294434,-21.435827,-4.464272,-17.309521,1
0.874000,822.833618,-950.121155,1195.206421,-21.422562,-4.600828,-17.574123,1
0.887000,822.068481,-950.551819,1195.390991,-21.361427,-4.713825,-17.848629,1
0.899000,820.099609,-952.186035,1196.010132,-21.377815,-4.775742,-18.080652,1
0.912000,818.750061,-952.815002,1196.190552,-21.343943,-4.850460,-18.316498,1
0.924000,816.069519,-954.117737,1196.531982,-21.368429,-4.866939,-18.518629,1
0.937000,815.013611,-955.476318,1197.266724,-21.370291,-4.951576,-18.720533,1
0.949000,811.265564,-955.832947,1196.895142,-21.369606,-4.913301,-18.920006,1
0.962000,809.565186,-956.762817,1197.324219,-21.362747,-4.972058,-19.121256,1
0.974000,801.481873,-958.910828,1197.284668,-21.500126,-4.783574,-19.301979,1
0.987000,796.651611,-958.895447,1196.623779,-21.498327,-4.701675,-19.502802,1
0.999000,794.761108,-959.913635,1197.182495,-21.506350,-4.741903,-19.677227,1
1.012000,786.751953,-959.797363,1195.899536,-21.560089,-4.510540,-19.838568,1
1.024000,785.135681,-960.884399,1196.545654,-21.577826,-4.544249,-19.975107,1
1.037000,781.174438,-960.909790,1196.099976,-21.594631,-4.459102,-20.096220,1
1.049000,779.797607,-961.788391,1196.640259,-21.606806,-4.490964,-20.218161,1
1.062000,775.601990,-962.287842,1196.444336,-21.649801,-4.395813,-20.326044,1
1.074000,772.659973,-963.136047,1196.661743,-21.692272,-4.351706,-20.426271,1
1.087000,769.115540,-964.226257,1196.833008,-21.761488,-4.273914,-20.501438,1
1.099000,766.958191,-963.834167,1196.397095,-21.753050,-4.224135,-20.573730,1
1.112000,765.273193,-963.907471,1196.307129,-21.756382,-4.200699,-20.646103,1
1.124000,763.321167,-964.408936,1196.400391,-21.776215,-4.182137,-20.735025,1
1.137000,760.926331,-964.925903,1196.428589,-21.799519,-4.152052,-20.837788,1
1.149000,759.666992,-964.435852,1195.989624,-21.758413,-4.163612,-20.969151,1
1.162000,760.199341,-965.778259,1196.844727,-21.756607,-4.288159,-21.125193,1
1.174000,761.044067,-966.395264,1197.135010,-21.734327,-4.394634,-21.251900,1
