,parent_frame,child_frame,posx,posy,posz,rotx,roty,rotz,rotw
0,base,tool0_controller,0.35386497771,-0.711355277371,0.029719810112,0.707010752823,4.1131736217e-05,7.73968702141e-05,0.70720279108
1,base,tool0_controller,0.353916086328,-0.711322440834,0.0297356686688,0.707007924382,8.74793675308e-05,8.82800389564e-05,0.707205613252
2,base,tool0_controller,0.353891621827,-0.711355557837,0.0297248842261,0.706991643762,6.24323140555e-05,6.64751516067e-05,0.707221893987
3,base,tool0_controller,0.353896536633,-0.711330945314,0.0296987439464,0.707015014021,8.41860031054e-05,8.05184367825e-05,0.707198526849
4,base,tool0_controller,0.353937402936,-0.711340835819,0.0297547671015,0.70699039615,8.1179767502e-05,0.00010390347413,0.707223134779
6,base,tool0_controller,0.353944714239,-0.711320910977,0.0297243433408,0.707008059646,0.000122870742014,0.000103372534668,0.707205470717
7,base,tool0_controller,0.353927065217,-0.71134287374,0.0297571031035,0.706971007736,7.03137734307e-05,9.79949588772e-05,0.707242518287
8,base,tool0_controller,0.353908965048,-0.711334656335,0.0297414836774,0.706997921177,6.47051703708e-05,9.99008861662e-05,0.707215614424
9,base,tool0_controller,0.353925284237,-0.711309618812,0.0297404909971,0.707000020112,7.82683470593e-05,0.000106816720662,0.707213513747
10,base,tool0_controller,0.353898597854,-0.711337820368,0.0297332360342,0.70698189142,5.11781574649e-05,7.55826028438e-05,0.707231643009
11,base,tool0_controller,0.353945481112,-0.711339745226,0.0297802656518,0.706968749288,9.38828136671e-05,0.000122913442235,0.707244769234
12,base,tool0_controller,0.353933256689,-0.711339597706,0.0297249419288,0.706990077499,6.10900350702e-05,0.000100778901881,0.707223455797
13,base,tool0_controller,0.35393327705,-0.711343359444,0.0297379833115,0.706992962843,8.62717860745e-05,0.000118950332999,0.707220565947
14,base,tool0_controller,0.353896684868,-0.711338123168,0.0297020775326,0.706999528833,6.93665466507e-05,8.36485730801e-05,0.707214008926
15,base,tool0_controller,0.35391994562,-0.711356735226,0.0297677496925,0.706961380757,6.7242673742e-05,0.00010584823153,0.707252140607
17,base,tool0_controller,0.353883396039,-0.711327113594,0.0297160472293,0.707011186648,6.98571660761e-05,7.17480089642e-05,0.707202355713
18,base,tool0_controller,0.35388634991,-0.711362685518,0.0297585129306,0.706970794872,3.91975482169e-05,9.59892497854e-05,0.707242733753
19,base,tool0_controller,0.353950542403,-0.711351401184,0.0297798075523,0.70696372618,8.51307010811e-05,0.000123140984833,0.707249791413
20,base,tool0_controller,0.353929232834,-0.711353911672,0.0297654583027,0.706970498748,6.69837749221e-05,9.50187849349e-05,0.707243027809
21,base,tool0_controller,0.353882465337,-0.71136338176,0.0297579530531,0.706981667352,6.15389699529e-05,9.998882819e-05,0.707231863142
22,base,tool0_controller,0.353914189003,-0.711343295378,0.0297744520046,0.706976983328,6.86538513991e-05,9.29527761454e-05,0.707236545783
23,base,tool0_controller,0.35391691895,-0.711326005964,0.029720390849,0.707000752238,9.16637748896e-05,7.93269497589e-05,0.707212783849
