,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,36.936405,-176.226944,2558.354004,28.854517,13.906994,48.189224,1
0.012000,36.943714,-176.226471,2558.368408,28.889030,13.898047,48.199104,1
0.025000,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0
0.049000,36.947460,-176.222244,2558.339600,28.889488,13.922272,48.189667,1
0.062000,36.941883,-176.220474,2558.334473,28.887110,13.852520,48.205814,1
0.074000,36.938885,-176.223709,2558.354736,28.909794,13.910177,48.196404,1
0.087000,36.934090,-176.221863,2558.355713,28.899675,13.928453,48.198643,1
0.099000,36.932278,-176.224319,2558.345459,28.909063,13.900378,48.203175,1
0.112000,36.928905,-176.223557,2558.352295,28.907499,13.910886,48.195103,1
0.124000,36.930904,-176.219421,2558.331543,28.910685,13.910437,48.200172,1
0.137000,36.926586,-176.223206,2558.342773,28.866589,13.836763,48.206158,1
0.149000,36.920544,-176.218048,2558.336426,28.925709,13.908916,48.200890,1
0.162000,36.927845,-176.219421,2558.345947,28.901646,13.922072,48.192741,1
0.174000,36.929276,-176.219879,2558.338623,28.878698,13.918535,48.191887,1
0.187000,36.930218,-176.219818,2558.335693,28.897537,13.852437,48.206001,1
0.199000,36.934231,-176.216187,2558.331787,28.841164,13.888763,48.193745,1
0.212000,36.936577,-176.217697,2558.351074,28.894030,13.877151,48.211174,1
0.224000,36.939796,-176.219467,2558.346436,28.890453,13.886652,48.203369,1
0.237000,36.942425,-176.223206,2558.347168,28.887678,13.870950,48.199978,1
0.249000,36.942810,-176.223541,2558.346191,28.903866,13.845110,48.213219,1
0.262000,36.942760,-176.216949,2558.342285,28.905334,13.870738,48.208511,1
0.274000,36.945332,-176.222351,2558.370850,28.895065,13.921926,48.196404,1
0.287000,36.940239,-176.223587,2558.370605,28.853601,13.916666,48.183666,1
0.299000,36.934692,-176.221207,2558.333252,28.877167,13.828577,48.206932,1
0.312000,36.930984,-176.219528,2558.329346,28.869734,13.896991,48.192612,1
0.324000,36.932560,-176.219833,2558.332031,28.908424,13.895996,48.206009,1
0.337000,36.927147,-176.216583,2558.351074,28.833155,13.839173,48.207771,1
0.349000,36.927464,-176.222260,2558.352051,28.864403,13.847551,48.201187,1
0.362000,36.926998,-176.217331,2558.334229,28.890942,13.897510,48.194416,1
0.374000,36.926544,-176.217575,2558.336670,28.886786,13.894439,48.201283,1
0.387000,36.927601,-176.221649,2558.341309,28.873184,13.856487,48.202297,1
0.399000,36.930698,-176.217896,2558.356201,28.917139,13.931585,48.190292,1
0.412000,36.931900,-176.218933,2558.354980,28.898243,13.883796,48.201962,1
0.424000,36.939251,-176.218689,2558.343750,28.898424,13.938149,48.190952,1
0.437000,36.939259,-176.223618,2558.350586,28.892097,13.900352,48.198421,1
0.449000,36.940910,-176.220306,2558.359863,28.889519,13.833658,48.215385,1
0.462000,36.943424,-176.221375,2558.344727,28.875042,13.860348,48.202236,1
0.474000,36.938572,-176.219208,2558.354736,28.855619,13.853700,48.198669,1
0.487000,36.940788,-176.219040,2558.353027,28.871841,13.880683,48.192730,1
0.499000,36.944008,-176.219986,2558.359131,28.871620,13.822428,48.212299,1
0.512000,36.935230,-176.220642,2558.342529,28.885885,13.882089,48.202068,1
0.524000,36.936428,-176.221619,2558.349121,28.926380,13.805226,48.230717,1
0.537000,36.928928,-176.220139,2558.324707,28.888767,13.904111,48.196846,1
0.549000,36.928551,-176.219269,2558.327393,28.914724,13.902300,48.208996,1
0.562000,36.930656,-176.216095,2558.349609,28.878180,13.866487,48.198410,1
0.574000,36.928486,-176.220901,2558.348145,28.874605,13.858974,48.207703,1
0.587000,36.929256,-176.220108,2558.361328,28.910244,13.904489,48.201965,1
0.599000,36.934063,-176.224258,2558.342529,28.852448,13.959960,48.173492,1
0.612000,36.930458,-176.220825,2558.351318,28.837250,13.872700,48.195610,1
0.624000,36.934887,-176.221527,2558.356201,28.878204,13.932269,48.186714,1
0.637000,36.935440,-176.220963,2558.358398,28.891619,13.943590,48.191696,1
0.649000,36.938168,-176.222504,2558.362061,28.893749,13.846728,48.206551,1
