,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,-165.827179,62.014980,2855.761963,22.844809,-10.349236,-8.658786,1
0.012000,-165.825027,62.012032,2855.778076,22.848078,-10.471612,-8.662124,1
0.024000,-165.821625,62.012146,2855.767578,22.868298,-10.407166,-8.648937,1
0.037000,0,0,0,0,0,0,0
0.049000,-165.825333,62.009026,2855.775391,22.799427,-10.431740,-8.671485,1
0.062000,-165.828400,62.012218,2855.759277,22.813538,-10.507759,-8.665443,1
0.074000,-165.834259,62.014214,2855.759033,22.796078,-10.506194,-8.658534,1
0.087000,-165.838943,62.017471,2855.773193,22.885754,-10.465669,-8.652880,1
0.099000,-165.845200,62.015869,2855.756836,22.828072,-10.428030,-8.668249,1
0.112000,-165.848663,62.013855,2855.740723,22.776232,-10.472960,-8.669777,1
0.124000,-165.847855,62.012741,2855.771240,22.924351,-10.423361,-8.647467,1
0.137000,-165.846329,62.014553,2855.784668,22.857281,-10.466005,-8.662968,1
0.149000,-165.844482,62.010490,2855.750977,22.868982,-10.447439,-8.657900,1
0.162000,-165.841141,62.014275,2855.771973,22.806442,-10.509166,-8.668138,1
0.174000,-165.837143,62.015812,2855.766113,22.894297,-10.457283,-8.666656,1
0.187000,-165.832901,62.013527,2855.762939,22.860851,-10.459338,-8.662667,1
0.199000,-165.831573,62.011978,2855.770996,22.828043,-10.470128,-8.659466,1
0.212000,-165.827881,62.013477,2855.772705,22.864664,-10.443949,-8.656976,1
0.224000,-165.826416,62.011166,2855.774902,22.799984,-10.413630,-8.667710,1
0.237000,-165.830048,62.013226,2855.765869,22.808271,-10.480511,-8.665089,1
0.249000,-165.823135,62.013191,2855.753174,22.849377,-10.455312,-8.659872,1
0.262000,-165.829025,62.013680,2855.743652,22.796545,-10.442974,-8.654411,1
0.274000,-165.834717,62.011906,2855.752197,22.778271,-10.499717,-8.658719,1
0.287000,-165.839203,62.012959,2855.759766,22.859474,-10.473107,-8.663527,1
0.299000,-165.837601,62.010933,2855.762939,22.863192,-10.412180,-8.657141,1
0.312000,-165.840775,62.012012,2855.755615,22.747889,-10.455246,-8.672061,1
0.324000,-165.843628,62.013962,2855.751221,22.838598,-10.564271,-8.668152,1
0.337000,-165.845047,62.011799,2855.767090,22.804480,-10.463733,-8.667091,1
0.349000,-165.844330,62.014084,2855.774902,22.849380,-10.466393,-8.660830,1
0.362000,-165.839218,62.010826,2855.770996,22.847141,-10.488893,-8.665077,1
0.374000,-165.841675,62.011066,2855.784912,22.794535,-10.574952,-8.675588,1
0.387000,-165.835892,62.013088,2855.755859,22.784811,-10.434669,-8.667582,1
0.399000,-165.833679,62.013512,2855.750000,22.753492,-10.451800,-8.672732,1
0.412000,-165.832764,62.010647,2855.765869,22.740547,-10.487906,-8.670238,1
0.424000,-165.835175,62.015938,2855.791748,22.810755,-10.417150,-8.655420,1
0.437000,-165.826828,62.015339,2855.753174,22.804062,-10.474898,-8.664892,1
0.449000,-165.830734,62.011627,2855.781494,22.774359,-10.496220,-8.671954,1
0.462000,-165.832108,62.015724,2855.760498,22.813393,-10.479026,-8.659314,1
0.474000,-165.831299,62.014278,2855.770508,22.857649,-10.383610,-8.660247,1
0.487000,-165.831100,62.011944,2855.776611,22.748564,-10.462268,-8.670732,1
0.499000,-165.836472,62.010063,2855.777344,22.797024,-10.480534,-8.667274,1
0.512000,-165.836105,62.013035,2855.754395,22.788832,-10.405807,-8.656219,1
0.525000,-165.838242,62.010582,2855.762451,22.845697,-10.505522,-8.662843,1
0.537000,-165.845062,62.010460,2855.757080,22.864368,-10.416321,-8.659649,1
0.550000,-165.847504,62.011700,2855.757568,22.815737,-10.453227,-8.658888,1
0.562000,-165.846390,62.011547,2855.757812,22.872862,-10.474137,-8.661567,1
0.575000,-165.841385,62.017090,2855.753418,22.790974,-10.523114,-8.664203,1
0.587000,-165.836945,62.010521,2855.763672,22.885839,-10.453319,-8.650160,1
0.600000,-165.840286,62.011612,2855.770508,22.798800,-10.490042,-8.671346,1
0.612000,-165.832260,62.010777,2855.764648,22.829889,-10.435041,-8.663666,1
0.625000,-165.828735,62.010731,2855.758789,22.881908,-10.477934,-8.651086,1
0.637000,-165.828140,62.010231,2855.738525,22.800529,-10.426023,-8.664260,1
0.650000,-165.827637,62.013306,2855.761719,22.845476,-10.509647,-8.663758,1
0.662000,-165.831955,62.016094,2855.776611,22.822969,-10.371017,-8.659682,1
0.675000,-165.829391,62.013157,2855.724121,22.801168,-10.477085,-8.664325,1
0.687000,-165.836243,62.013290,2855.760986,22.822981,-10.533506,-8.664471,1
0.700000,-165.837616,62.013378,2855.776611,22.840441,-10.382910,-8.655817,1
0.712000,-165.838531,62.016361,2855.743164,22.803030,-10.583153,-8.658913,1
0.725000,-165.845901,62.012737,2855.747803,22.803650,-10.474967,-8.663874,1
0.737000,-165.846848,62.010235,2855.754883,22.804022,-10.409515,-8.653089,1
0.750000,-165.846878,62.009880,2855.769775,22.846695,-10.445963,-8.658094,1
0.762000,-165.841782,62.009644,2855.738525,22.750462,-10.493507,-8.658657,1
