TS,X,Y,Z,RX,RY,RZ
2.45,-455.48,-79.52,2128.96,0.26,29.04,-121.64
21.39,-172.54,157.53,2313.72,22.40,44.80,-157.70
65.83,-123.02,308.25,1916.84,28.98,28.55,-141.75
111.32,119.95,-135.04,295.05,65.28,34.26,-167.80
142.11,-86.33,-386.74,2184.71,-3.45,27.85,147.63
172.66,-145.12,-413.48,2479.27,18.26,56.21,160.60
197.56,-10.55,2.53,1745.81,15.74,15.38,-166.44
222.30,43.67,360.20,1810.45,13.98,24.24,-144.71
250.84,84.96,357.88,278.19,23.92,35.11,-140.06
280.79,120.34,-113.44,2129.54,56.45,37.36,164.50
309.18,-5.32,-256.26,2422.69,47.73,51.75,150.72
338.87,-154.83,-377.35,2577.61,5.61,53.05,111.48
374.77,-215.62,-532.96,2381.09,3.10,40.55,100.24
433.07,-165.77,-513.09,1940.62,8.34,21.26,102.14
476.93,64.99,70.33,1656.01,66.06,11.87,-173.34
494.32,87.38,217.52,1625.71,51.38,13.37,-178.19
521.62,161.53,516.27,1854.89,47.05,25.50,-163.96
544.68,195.77,477.05,2249.30,57.08,43.08,-161.23
572.58,-114.35,316.97,2136.47,31.62,37.56,-146.52
602.91,-229.45,477.74,2142.92,30.93,38.13,-130.47
