,square_model_xsens,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,0,0,0,0,0,0,0
0.012000,0,0,0,0,0,0,0
0.025000,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0
0.049000,-97.219208,180.234741,2319.091553,20.455999,13.493069,57.478542,1
0.062000,-97.220650,180.235886,2319.093506,20.445807,13.503351,57.470463,1
0.074000,-97.225327,180.237869,2319.089844,20.437407,13.547013,57.453762,1
0.087000,-97.226425,180.238525,2319.081299,20.427351,13.507288,57.470463,1
0.099000,-97.233337,180.237778,2319.113281,20.429253,13.556264,57.453960,1
0.112000,-97.234268,180.240341,2319.095215,20.450628,13.515084,57.477680,1
0.124000,-97.235428,180.237762,2319.081543,20.418522,13.478644,57.484806,1
0.137000,-97.232323,180.237549,2319.076660,20.407299,13.522003,57.464218,1
0.149000,-97.229813,180.235626,2319.082031,20.412678,13.553708,57.445614,1
0.162000,-97.227013,180.235550,2319.076416,20.397577,13.535979,57.459213,1
0.174000,-97.224625,180.240967,2319.089355,20.447369,13.538963,57.465290,1
0.187000,-97.219223,180.239975,2319.088867,20.405516,13.507001,57.470047,1
0.199000,-97.217377,180.237091,2319.098145,20.400503,13.523028,57.454823,1
0.212000,-97.218933,180.237198,2319.101318,20.431322,13.498587,57.472855,1
0.224000,-97.217888,180.237106,2319.073486,20.436094,13.487589,57.478359,1
0.237000,-97.210754,180.236267,2319.074219,20.474531,13.516959,57.467148,1
0.249000,-97.217506,180.238480,2319.100342,20.396400,13.555602,57.451740,1
0.262000,-97.220978,180.239517,2319.098877,20.419958,13.555870,57.452164,1
0.274000,-97.224228,180.239548,2319.115967,20.445124,13.492777,57.477333,1
0.287000,-97.227150,180.238083,2319.085205,20.457405,13.524413,57.470577,1
0.299000,-97.225899,180.237488,2319.073975,20.460232,13.577239,57.455742,1
0.312000,-97.228920,180.239883,2319.089111,20.432264,13.555138,57.455048,1
0.324000,-97.232407,180.239563,2319.093750,20.423826,13.538287,57.463207,1
0.337000,-97.232040,180.235580,2319.092773,20.449446,13.507541,57.472294,1
0.349000,-97.231895,180.237350,2319.079834,20.424784,13.507260,57.467129,1
0.362000,-97.229416,180.239227,2319.084961,20.448908,13.494970,57.474663,1
0.374000,-97.226952,180.238815,2319.100342,20.433430,13.552436,57.451153,1
0.387000,-97.223564,180.239243,2319.073975,20.421526,13.564118,57.439610,1
0.400000,-97.224014,180.237656,2319.086182,20.424599,13.522498,57.464561,1
0.412000,-97.218750,180.234467,2319.079590,20.417606,13.502681,57.468975,1
0.425000,-97.220955,180.237259,2319.099365,20.462067,13.606630,57.444370,1
0.437000,-97.218369,180.236801,2319.085938,20.451574,13.549125,57.458538,1
0.450000,-97.219200,180.240677,2319.092529,20.443644,13.513693,57.468063,1
0.462000,-97.218590,180.240173,2319.092529,20.421368,13.492483,57.474247,1
0.475000,-97.221474,180.242065,2319.103271,20.393764,13.480904,57.478031,1
0.487000,-97.220016,180.238281,2319.076172,20.433893,13.564631,57.454151,1
0.500000,-97.226883,180.237427,2319.096924,20.408331,13.504762,57.474712,1
0.512000,-97.230751,180.236893,2319.089111,20.465639,13.525373,57.474922,1
0.525000,-97.229164,180.239349,2319.097168,20.398848,13.549996,57.448421,1
0.537000,-97.229279,180.238754,2319.067871,20.423891,13.510128,57.462162,1
0.550000,-97.233765,180.236526,2319.096191,20.406416,13.481802,57.477150,1
0.562000,-97.232445,180.239395,2319.102295,20.429529,13.480929,57.480350,1
0.575000,-97.227402,180.236053,2319.085205,20.431181,13.571345,57.452095,1
0.587000,-97.226814,180.237656,2319.082520,20.425348,13.480170,57.471809,1
0.600000,-97.226151,180.237076,2319.092773,20.456024,13.475084,57.486774,1
0.612000,-97.219093,180.234146,2319.094971,20.420763,13.497209,57.473858,1
0.625000,-97.221901,180.235428,2319.083008,20.421957,13.553898,57.451229,1
0.637000,-97.218880,180.235672,2319.076660,20.438263,13.559941,57.457649,1
0.650000,-97.219475,180.237564,2319.096680,20.419994,13.516375,57.462429,1
0.662000,-97.219955,180.230820,2319.073486,20.363672,13.465346,57.476460,1
0.675000,-97.220688,180.234726,2319.089844,20.394049,13.615990,57.427219,1
0.687000,-97.225136,180.235687,2319.081543,20.432314,13.490379,57.478363,1
0.700000,-97.225243,180.237442,2319.090576,20.418703,13.483123,57.486431,1
0.712000,-97.224236,180.238068,2319.078125,20.455215,13.567567,57.457539,1
0.725000,-97.228836,180.236679,2319.102539,20.432907,13.518873,57.466713,1
0.737000,-97.230957,180.238068,2319.091064,20.408154,13.521055,57.461098,1
0.750000,-97.229012,180.239258,2319.092529,20.423393,13.576961,57.443653,1
0.762000,-97.231506,180.236374,2319.079346,20.437954,13.551111,57.460915,1
0.775000,-97.231133,180.237442,2319.093262,20.429119,13.489573,57.481651,1
0.787000,-97.230515,180.237320,2319.105957,20.437412,13.519570,57.469036,1
0.800000,-97.228859,180.239319,2319.093994,20.427567,13.534280,57.461220,1
0.812000,-97.224098,180.240021,2319.096436,20.425402,13.552536,57.456474,1
0.825000,-97.224419,180.237457,2319.097900,20.447330,13.530842,57.460606,1
0.837000,-97.221428,180.238495,2319.105225,20.440123,13.571903,57.442471,1
0.850000,-97.218178,180.238434,2319.086426,20.439812,13.529366,57.462334,1
0.862000,-97.218452,180.235550,2319.087402,20.438166,13.558708,57.448437,1
0.875000,-97.221413,180.234802,2319.068848,20.413263,13.529701,57.454659,1
0.887000,-97.222725,180.238556,2319.097656,20.427437,13.514841,57.468845,1
0.900000,-97.224197,180.236801,2319.089600,20.388187,13.522395,57.455116,1
0.912000,-97.228813,180.237930,2319.096680,20.488783,13.528909,57.469269,1
0.925000,-97.228058,180.237579,2319.086182,20.418152,13.512107,57.466576,1
0.937000,-97.226959,180.236465,2319.091797,20.466520,13.520521,57.474327,1
0.950000,-97.230240,180.239380,2319.099121,20.450748,13.556988,57.453632,1
0.962000,-97.229156,180.236725,2319.083496,20.454449,13.518919,57.470463,1
0.975000,-97.228157,180.236145,2319.076416,20.449276,13.503495,57.474483,1
0.987000,-97.229950,180.236038,2319.091797,20.428930,13.521795,57.458229,1
1.000000,-97.228798,180.236694,2319.073730,20.389826,13.538294,57.458324,1
1.012000,-97.228287,180.235840,2319.094482,20.430412,13.475924,57.476070,1
1.025000,-97.225235,180.236099,2319.080566,20.445059,13.526075,57.468193,1
1.037000,-97.223526,180.238998,2319.090820,20.421852,13.501012,57.468967,1
1.050000,-97.222122,180.239044,2319.079346,20.388189,13.466221,57.479416,1
1.062000,-97.219368,180.237503,2319.077148,20.424221,13.515440,57.467594,1
1.075000,-97.220230,180.235306,2319.093262,20.443230,13.548969,57.457340,1
1.087000,-97.221268,180.239960,2319.096436,20.444666,13.562862,57.455128,1
1.100000,-97.225266,180.236374,2319.090576,20.474661,13.549975,57.459438,1
1.112000,-97.221298,180.237350,2319.070068,20.463203,13.569122,57.449432,1
1.125000,-97.227264,180.237732,2319.094727,20.432417,13.521099,57.462246,1
1.137000,-97.226280,180.235565,2319.075439,20.434813,13.538250,57.451851,1
1.150000,-97.225693,180.235626,2319.084717,20.445631,13.535477,57.463654,1
1.162000,-97.225258,180.233521,2319.074463,20.439291,13.551145,57.462097,1
1.175000,-97.228752,180.237549,2319.089844,20.424467,13.539641,57.456356,1
1.187000,-97.227150,180.234726,2319.091797,20.434675,13.557914,57.454643,1
1.200000,-97.229294,180.240555,2319.081787,20.402483,13.474255,57.476410,1
1.212000,-97.228096,180.236557,2319.083008,20.454325,13.523353,57.470860,1
1.225000,-97.224434,180.235336,2319.081055,20.452387,13.571271,57.451496,1
1.237000,-97.227142,180.237961,2319.099854,20.463205,13.518328,57.467636,1
1.250000,-97.225189,180.238434,2319.081055,20.444378,13.518296,57.478043,1
1.262000,-97.223671,180.237076,2319.088379,20.441195,13.575553,57.449554,1
