,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,135.204117,65.851257,2579.931152,-0.035865,-0.042491,0.003430,1
0.012000,135.207306,65.848671,2579.946777,-0.050235,-0.041695,0.008860,1
0.025000,135.208115,65.846992,2579.951660,-0.037383,-0.016424,0.007473,1
0.037000,135.203842,65.849274,2579.926270,0.029083,-0.023472,0.011596,1
0.049000,135.204315,65.849258,2579.928955,-0.055883,-0.032530,-0.004874,1
0.062000,135.204224,65.851257,2579.927246,-0.045144,-0.001148,0.002908,1
0.074000,135.204956,65.849884,2579.932373,-0.046031,0.033046,0.000642,1
0.087000,135.205551,65.850616,2579.934082,-0.007343,0.014080,0.009946,1
0.099000,135.204315,65.849335,2579.933350,-0.007071,0.026734,0.008669,1
0.112000,135.205688,65.847038,2579.927734,-0.040638,-0.042290,0.002538,1
0.124000,135.202530,65.853416,2579.941162,0.036436,0.011945,0.007920,1
0.137000,135.205231,65.853363,2579.919678,-0.053856,0.039470,0.005662,1
0.149000,135.205536,65.852821,2579.946045,-0.134561,0.043784,-0.005165,1
0.162000,135.204239,65.853477,2579.922852,-0.091580,-0.038061,0.000985,1
0.174000,135.206818,65.852379,2579.936035,-0.006247,-0.053171,0.009705,1
0.187000,135.209641,65.850410,2579.926758,-0.046967,-0.011925,-0.002613,1
0.199000,135.204742,65.851288,2579.933105,-0.041421,0.039004,0.008921,1
0.212000,135.206848,65.851089,2579.913574,-0.089493,-0.007619,0.002699,1
0.224000,135.204117,65.854675,2579.937012,-0.048778,0.023226,0.001341,1
0.237000,135.205032,65.852570,2579.935791,-0.054239,-0.006914,-0.001469,1
0.249000,135.202728,65.851486,2579.934326,-0.005101,0.013741,0.002298,1
0.262000,135.205963,65.851471,2579.929443,-0.076311,0.064203,0.003390,1
0.274000,135.206863,65.848061,2579.926270,-0.111020,0.002386,0.010797,1
0.287000,135.203171,65.851402,2579.925537,-0.082346,-0.015375,-0.002557,1
0.299000,135.204544,65.857338,2579.924316,-0.023080,0.012460,0.009938,1
0.312000,135.199936,65.852844,2579.928467,-0.046294,0.093670,0.009751,1
0.324000,135.206741,65.852592,2579.950928,-0.079164,-0.003507,0.002838,1
0.337000,135.206421,65.851463,2579.929688,-0.038030,0.004188,0.004511,1
0.349000,135.203079,65.852646,2579.910400,-0.001080,-0.009034,0.006879,1
0.362000,135.206360,65.848984,2579.926514,-0.056032,-0.034392,0.006818,1
0.374000,135.206894,65.853020,2579.926270,-0.049775,-0.004256,0.001179,1
0.387000,135.206726,65.853630,2579.942871,-0.042471,-0.009076,0.002088,1
0.399000,135.207687,65.852547,2579.970215,-0.041765,0.041995,0.006532,1
0.412000,135.204742,65.847435,2579.931396,-0.059481,-0.046288,0.002042,1
0.424000,135.207748,65.854683,2579.927734,0.009554,0.063891,0.014676,1
0.437000,135.206161,65.848656,2579.934082,-0.094744,-0.005640,0.005674,1
0.449000,135.205338,65.852402,2579.941650,-0.071204,0.047388,-0.001047,1
0.462000,135.202850,65.854271,2579.942871,-0.008009,0.002881,0.002442,1
0.475000,135.204010,65.851227,2579.928955,-0.022436,0.027618,0.008775,1
0.487000,135.208420,65.855293,2579.924805,-0.042475,-0.063485,0.003630,1
0.500000,135.205933,65.851013,2579.927490,-0.062017,-0.067281,0.002108,1
0.512000,135.205246,65.853615,2579.925781,-0.030712,-0.022088,0.005875,1
0.525000,135.204117,65.849304,2579.906006,-0.034628,0.014170,0.005096,1
0.537000,135.206238,65.853279,2579.925293,-0.077019,0.007055,0.006510,1
0.550000,135.204056,65.851677,2579.913818,-0.057473,0.022404,0.001369,1
0.562000,135.207199,65.854012,2579.932861,-0.025663,0.025612,0.003701,1
0.575000,135.205414,65.855804,2579.915527,-0.046033,-0.029375,0.003776,1
0.587000,135.206940,65.853714,2579.914307,-0.045173,-0.070654,0.000051,1
0.600000,135.206055,65.848640,2579.937988,-0.091025,0.018542,-0.005179,1
0.612000,135.207352,65.854309,2579.910156,-0.059108,-0.032188,0.005461,1
0.625000,135.206619,65.851021,2579.938232,-0.053284,-0.067799,0.006077,1
0.637000,135.205902,65.850311,2579.929199,-0.029198,0.014101,-0.001238,1
0.650000,135.205811,65.849869,2579.927734,-0.043627,-0.023906,0.008435,1
0.662000,135.203308,65.851562,2579.939941,-0.105261,-0.081016,0.003221,1
0.675000,135.203430,65.852043,2579.922363,-0.043221,-0.005693,0.008158,1
0.687000,135.206039,65.852211,2579.922363,-0.033298,-0.025873,0.003565,1
0.700000,135.204865,65.851952,2579.916992,-0.108530,-0.003217,0.001181,1
0.712000,135.203751,65.849258,2579.926270,-0.077204,0.000332,0.002991,1
0.725000,135.204865,65.852806,2579.917236,-0.101988,0.009558,0.000231,1
0.737000,135.205566,65.850571,2579.926758,-0.060789,0.062210,-0.004080,1
0.750000,135.208176,65.848289,2579.927979,-0.040398,-0.046330,0.012060,1
0.762000,135.206726,65.851410,2579.926758,-0.072667,-0.014048,0.003859,1
0.775000,135.205856,65.851074,2579.927979,-0.052095,0.026008,-0.000494,1
0.787000,135.204269,65.850418,2579.924072,-0.046115,-0.028541,0.005112,1
0.800000,135.202606,65.849892,2579.912598,-0.011159,-0.013970,0.004534,1
0.812000,135.203262,65.851669,2579.922852,0.002696,0.041480,0.004058,1
0.825000,135.206131,65.848991,2579.921875,0.010977,0.047605,0.005720,1
0.837000,135.202087,65.853371,2579.927490,-0.071395,0.008033,-0.000741,1
0.850000,135.203186,65.852280,2579.923096,0.001465,-0.022191,0.006937,1
0.862000,135.203079,65.848801,2579.926758,-0.050403,-0.068889,0.001109,1
0.875000,135.204071,65.852058,2579.916504,-0.040197,0.044110,0.011942,1
0.887000,135.207047,65.851852,2579.936279,-0.057167,-0.033445,0.004870,1
0.900000,135.208313,65.848648,2579.925049,-0.066055,0.001966,-0.001044,1
