 X, Y, Z,Yaw,Pitch, Roll
18.162,33.864,4.307,-89.1461,-0.7114,-0.6534
18.162,33.864,4.307,-89.1455,-0.7111,-0.653
18.161,33.864,4.307,-89.1449,-0.7108,-0.6525
18.161,33.864,4.307,-89.1443,-0.7104,-0.652
18.161,33.864,4.307,-89.1437,-0.7101,-0.6515
18.161,33.865,4.307,-89.1431,-0.7098,-0.651
18.161,33.865,4.307,-89.1424,-0.7094,-0.6505
18.161,33.865,4.307,-89.1418,-0.7091,-0.65
18.161,33.865,4.307,-89.1412,-0.7088,-0.6495
18.161,33.864,4.307,-89.1406,-0.7085,-0.649
18.161,33.864,4.307,-89.14,-0.7082,-0.6485
18.16,33.865,4.307,-89.1394,-0.7079,-0.648
18.16,33.865,4.307,-89.1388,-0.7075,-0.6476
18.16,33.865,4.307,-89.1382,-0.7072,-0.6471
18.16,33.865,4.307,-89.1376,-0.7069,-0.6466
18.16,33.865,4.307,-89.1369,-0.7066,-0.6461
18.16,33.865,4.307,-89.1363,-0.7062,-0.6456
18.16,33.865,4.307,-89.1357,-0.7059,-0.6451
18.16,33.865,4.307,-89.1351,-0.7056,-0.6446
18.159,33.865,4.307,-89.1345,-0.7053,-0.6441
18.16,33.865,4.307,-89.1339,-0.705,-0.6437
18.159,33.865,4.307,-89.1333,-0.7046,-0.6432
18.159,33.865,4.307,-89.1327,-0.7043,-0.6427
18.159,33.865,4.307,-89.1321,-0.704,-0.6422
18.159,33.865,4.307,-89.1314,-0.7037,-0.6417
18.159,33.865,4.307,-89.1309,-0.7033,-0.6412
18.159,33.865,4.307,-89.1302,-0.703,-0.6407
18.159,33.865,4.307,-89.1296,-0.7027,-0.6402
18.158,33.865,4.307,-89.129,-0.7023,-0.6397
18.158,33.865,4.307,-89.1284,-0.702,-0.6392
18.159,33.865,4.307,-89.1278,-0.7017,-0.6387
18.158,33.865,4.307,-89.1272,-0.7014,-0.6382
18.158,33.865,4.307,-89.1266,-0.701,-0.6378
18.158,33.865,4.307,-89.126,-0.7007,-0.6372
18.158,33.865,4.307,-89.1254,-0.7004,-0.6368
18.158,33.865,4.307,-89.1248,-0.7,-0.6363
18.158,33.865,4.307,-89.1242,-0.6997,-0.6358
18.158,33.865,4.307,-89.1236,-0.6994,-0.6353
18.158,33.865,4.307,-89.123,-0.6991,-0.6348
18.157,33.865,4.307,-89.1224,-0.6987,-0.6343
18.158,33.865,4.307,-89.1218,-0.6984,-0.6338
18.158,33.865,4.307,-89.1212,-0.6981,-0.6334
18.157,33.865,4.307,-89.1207,-0.6978,-0.6329
