,hand_tool_model,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
0.000000,0,0,0,0,0,0,0
0.012000,0,0,0,0,0,0,0
0.024000,0,0,0,0,0,0,0
0.037000,0,0,0,0,0,0,0
0.049000,794.899841,-952.045959,1208.525513,-20.730810,-5.535600,-17.889441,1
0.062000,794.908630,-953.293762,1209.260742,-20.783476,-5.551175,-17.882013,1
0.074000,794.954773,-952.992737,1209.108643,-20.772806,-5.546162,-17.877136,1
0.087000,794.821045,-952.808838,1208.975830,-20.767239,-5.538237,-17.877323,1
0.099000,798.305359,-955.234680,1211.116333,-20.823807,-5.711853,-17.865255,1
0.112000,797.767212,-955.496460,1211.142456,-20.841724,-5.693361,-17.863930,1
0.124000,796.481506,-955.606873,1210.938843,-20.865946,-5.638230,-17.854786,1
0.137000,796.283264,-954.610474,1210.297974,-20.823318,-5.621346,-17.868296,1
0.149000,797.232544,-955.563599,1211.081909,-20.852047,-5.671919,-17.862461,1
0.162000,794.897766,-955.018860,1210.246948,-20.860239,-5.567654,-17.861485,1
0.174000,795.935303,-955.333191,1210.669189,-20.859993,-5.614068,-17.860178,1
0.187000,798.529785,-955.119141,1211.116577,-20.812973,-5.723292,-17.874249,1
0.199000,797.382202,-955.528687,1211.095581,-20.846493,-5.679346,-17.867346,1
0.212000,796.035034,-955.806213,1210.919800,-20.884909,-5.617394,-17.843365,1
0.224000,795.419189,-955.771790,1210.756958,-20.890265,-5.593143,-17.846447,1
0.237000,796.699280,-955.562134,1210.937256,-20.858072,-5.651030,-17.864471,1
0.249000,795.727966,-954.501404,1210.116211,-20.828285,-5.594920,-17.864073,1
0.262000,796.868469,-955.400574,1210.889404,-20.851908,-5.652373,-17.858395,1
0.274000,796.141357,-954.532043,1210.233398,-20.824160,-5.612017,-17.864098,1
0.287000,798.679504,-955.270813,1211.238647,-20.818346,-5.730239,-17.871136,1
0.299000,796.527710,-954.723083,1210.458618,-20.829475,-5.627587,-17.857143,1
0.312000,795.868408,-955.386230,1210.676636,-20.862617,-5.612756,-17.861345,1
0.324000,795.586853,-954.532593,1210.116577,-20.830751,-5.589875,-17.864672,1
0.337000,795.943115,-954.997314,1210.493164,-20.847006,-5.609483,-17.860361,1
0.349000,797.585144,-955.959961,1211.390869,-20.864597,-5.690768,-17.859726,1
0.362000,797.148987,-955.132690,1210.817139,-20.834637,-5.662889,-17.865656,1
0.374000,795.331604,-955.154480,1210.438599,-20.863436,-5.584046,-17.854330,1
0.387000,797.551392,-956.066589,1211.451782,-20.868437,-5.691665,-17.861252,1
0.399000,798.312744,-954.900940,1210.929932,-20.808842,-5.708369,-17.868557,1
0.412000,795.988770,-955.343628,1210.685059,-20.860418,-5.615375,-17.858183,1
0.424000,796.501648,-955.459900,1210.836792,-20.858534,-5.638491,-17.858868,1
0.437000,797.492859,-955.875977,1211.295044,-20.862341,-5.684965,-17.858313,1
0.449000,795.430054,-954.272644,1209.894775,-20.821026,-5.581072,-17.868299,1
0.462000,797.983765,-955.456299,1211.172974,-20.838247,-5.700407,-17.861835,1
0.474000,794.972839,-955.599976,1210.572510,-20.894070,-5.563467,-17.829556,1
0.487000,796.648743,-954.989136,1210.624512,-20.834412,-5.641770,-17.867367,1
0.499000,795.922729,-955.294067,1210.597900,-20.861370,-5.608881,-17.851974,1
0.512000,798.395630,-956.034424,1211.601685,-20.856030,-5.726814,-17.862204,1
0.524000,797.444702,-954.810303,1210.672729,-20.815384,-5.672862,-17.871471,1
0.537000,796.729309,-955.347290,1210.847534,-20.851097,-5.645823,-17.858278,1
0.549000,796.229553,-954.945068,1210.475952,-20.839270,-5.621939,-17.864035,1
0.562000,798.055786,-955.145813,1210.998535,-20.821482,-5.702114,-17.870094,1
0.574000,797.658569,-955.376038,1211.036255,-20.838823,-5.686664,-17.863634,1
0.587000,797.469910,-955.564575,1211.087646,-20.849257,-5.680964,-17.861765,1
0.599000,797.877258,-955.545288,1211.174561,-20.844738,-5.695301,-17.857935,1
0.612000,797.987488,-955.879333,1211.395508,-20.857342,-5.704681,-17.856447,1
0.624000,797.432434,-955.353455,1210.955688,-20.840895,-5.676714,-17.862385,1
0.637000,796.671570,-955.583862,1210.956421,-20.865437,-5.642327,-17.847992,1
0.649000,797.973877,-955.481934,1211.182617,-20.837681,-5.702510,-17.866219,1
0.662000,796.808472,-955.308838,1210.846924,-20.847849,-5.649380,-17.860079,1
0.674000,796.622131,-954.916870,1210.568359,-20.833828,-5.636819,-17.861851,1
0.687000,796.115295,-955.757935,1210.940063,-20.876028,-5.627184,-17.857428,1
0.699000,796.520508,-955.087036,1210.635864,-20.844084,-5.632623,-17.856464,1
0.712000,797.113159,-955.153259,1210.780884,-20.835903,-5.662227,-17.865540,1
0.724000,798.233459,-956.525574,1211.855225,-20.879963,-5.724822,-17.856939,1
0.737000,797.484863,-955.090698,1210.834595,-20.827980,-5.677276,-17.867779,1
0.749000,797.258179,-954.892639,1210.657227,-20.823269,-5.664241,-17.866304,1
0.762000,796.671631,-955.347900,1210.828491,-20.852604,-5.642612,-17.856667,1
0.774000,797.396301,-955.421143,1211.021729,-20.845026,-5.675291,-17.860321,1
0.787000,795.887329,-955.550171,1210.760864,-20.872278,-5.611933,-17.852543,1
0.799000,797.748840,-955.161194,1210.963379,-20.826147,-5.690030,-17.870455,1
0.812000,796.170776,-955.409119,1210.769775,-20.859640,-5.625869,-17.862278,1
0.824000,797.637939,-955.102539,1210.906738,-20.826822,-5.682858,-17.866447,1
0.837000,797.860840,-954.900085,1210.850586,-20.814283,-5.690842,-17.870798,1
0.849000,796.641785,-955.435608,1210.903076,-20.858061,-5.641584,-17.853809,1
0.862000,795.873230,-955.750671,1210.909790,-20.880337,-5.614635,-17.853170,1
0.874000,797.113525,-955.082214,1210.789795,-20.833040,-5.660379,-17.864601,1
0.887000,796.470886,-955.287598,1210.783203,-20.850172,-5.636834,-17.864153,1
0.899000,796.959961,-955.456970,1210.996216,-20.852659,-5.656915,-17.858746,1
0.912000,797.245911,-955.165710,1210.846924,-20.832401,-5.669718,-17.871201,1
0.924000,796.801392,-955.792786,1211.155273,-20.870253,-5.652820,-17.853428,1
0.937000,796.741455,-955.009155,1210.664551,-20.837353,-5.641576,-17.859879,1
0.949000,798.596375,-956.316040,1211.832642,-20.864679,-5.738162,-17.861917,1
0.962000,795.919067,-954.602173,1210.239136,-20.831030,-5.601960,-17.860189,1
0.974000,797.454956,-955.774536,1211.242188,-20.860079,-5.680455,-17.855494,1
0.987000,797.442261,-955.683716,1211.190918,-20.853676,-5.682233,-17.862989,1
0.999000,797.633240,-954.705444,1210.662354,-20.808695,-5.679359,-17.872234,1
1.012000,797.852722,-955.293518,1211.049316,-20.832970,-5.693445,-17.863634,1
1.024000,795.872986,-954.866638,1210.367554,-20.842222,-5.604912,-17.860767,1
1.037000,797.946411,-954.385193,1210.527710,-20.792742,-5.686506,-17.870052,1
1.049000,796.468506,-954.860168,1210.504883,-20.834005,-5.629687,-17.861717,1
1.062000,795.456055,-954.747620,1210.216675,-20.842640,-5.586380,-17.861315,1
1.074000,795.647034,-955.885254,1210.953979,-20.886896,-5.613462,-17.862438,1
1.087000,795.989746,-954.933044,1210.458496,-20.841949,-5.611646,-17.864138,1
1.099000,796.714294,-956.067383,1211.309570,-20.878796,-5.659598,-17.864273,1
1.112000,797.510132,-955.535767,1211.134766,-20.846792,-5.683850,-17.865601,1
1.124000,797.919800,-955.866211,1211.394897,-20.855112,-5.704378,-17.863041,1
1.137000,798.105896,-955.436279,1211.192627,-20.832560,-5.708994,-17.870384,1
1.149000,795.298950,-954.243225,1209.881226,-20.823486,-5.572728,-17.863077,1
1.162000,798.060913,-955.757080,1211.385010,-20.848333,-5.709727,-17.865139,1
1.174000,798.723572,-955.934326,1211.648926,-20.845428,-5.740484,-17.868231,1
