%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1678277369110583007,4933,1678277369109882686,,2454771300000,
1678277369110665578,4934,1678277369109977473,,2454781300000,
1678277369110718461,4935,1678277369110034368,,2454791300000,
1678277369111037465,4936,1678277369110106828,,2454811300000,
1678277369153236330,4937,1678277369152650060,,2454821300000,
1678277369153275623,4938,1678277369152744132,,2454831300000,
1678277369153369989,4939,1678277369152800461,,2454841300000,
1678277369196633630,4940,1678277369196066782,,2454861300000,
1678277369196680803,4941,1678277369196158250,,2454871300000,
1678277369196860974,4942,1678277369196215042,,2454881300000,
1678277369197160133,4943,1678277369196268170,,2454891300000,
1678277369239186410,4944,1678277369238671758,,2454911300000,
1678277369239223726,4945,1678277369238762416,,2454921300000,
1678277369239410129,4946,1678277369238818467,,2454931300000,
1678277369282397165,4947,1678277369281796081,,2454941300000,
1678277369282447909,4948,1678277369281898802,,2454961300000,
1678277369282802218,4949,1678277369281955314,,2454971300000,
1678277369325545693,4950,1678277369324954665,,2454981300000,
1678277369325679303,4951,1678277369325065622,,2454991300000,
1678277369326124692,4952,1678277369325129070,,2455011300000,
1678277369326155797,4953,1678277369325182144,,2455021300000,
1678277369368356573,4954,1678277369367633865,,2455031300000,
1678277369368407084,4955,1678277369367750064,,2455051300000,
1678277369368502248,4956,1678277369367807749,,2455061300000,
1678277369412039775,4957,1678277369411430407,,2455071300000,
1678277369412093213,4958,1678277369411523912,,2455081300000,
1678277369412536459,4959,1678277369411601267,,2455101300000,
1678277369412577062,4960,1678277369411665276,,2455111300000,
1678277369453940528,4961,1678277369453663540,,2455121300000,
1678277369453962614,4962,1678277369453697571,,2455131300000,
1678277369453984876,4963,1678277369453724700,,2455151300000,
1678277369497911894,4964,1678277369497566626,,2455161300000,
1678277369497923489,4965,1678277369497587195,,2455171300000,
1678277369497957770,4966,1678277369497630555,,2455181300000,
1678277369498134379,4967,1678277369497642041,,2455201300000,
1678277369540643358,4968,1678277369540384574,,2455211300000,
1678277369540741712,4969,1678277369540421566,,2455221300000,
1678277369540759067,4970,1678277369540445346,,2455241300000,
1678277369583964783,4971,1678277369583625899,,2455251300000,
1678277369583977520,4972,1678277369583653157,,2455261300000,
1678277369583998748,4973,1678277369583675901,,2455271300000,
1678277369627050553,4974,1678277369626781608,,2455291300000,
1678277369627066457,4975,1678277369626805667,,2455301300000,
1678277369627099674,4976,1678277369626818736,,2455311300000,
1678277369627253371,4977,1678277369626831234,,2455321300000,
1678277369669767460,4978,1678277369669432006,,2455341300000,
1678277369669812973,4979,1678277369669465027,,2455351300000,
1678277369669822422,4980,1678277369669484216,,2455361300000,
1678277369713671305,4981,1678277369713025568,,2455371300000,
1678277369713720143,4982,1678277369713145264,,2455391300000,
1678277369714186942,4983,1678277369713203302,,2455401300000,
1678277369714216215,4984,1678277369713257023,,2455411300000,
1678277369756829383,4985,1678277369756212874,,2455421300000,
1678277369756906298,4986,1678277369756314479,,2455441300000,
1678277369756924681,4987,1678277369756386104,,2455451300000,
1678277369800522238,4988,1678277369799542231,,2455461300000,
1678277369800562125,4989,1678277369799661145,,2455481300000,
1678277369800590432,4990,1678277369799718753,,2455491300000,
1678277369842297722,4991,1678277369841659205,,2455501300000,
1678277369842339576,4992,1678277369841772311,,2455511300000,
1678277369842436360,4993,1678277369841875805,,2455531300000,
1678277369842879658,4994,1678277369841951941,,2455541300000,
1678277369886473885,4995,1678277369885780478,,2455551300000,
1678277369886534206,4996,1678277369885895501,,2455561300000,
1678277369886703642,4997,1678277369886001047,,2455581300000,
1678277369929552966,4998,1678277369928830375,,2455591300000,
1678277369929591094,4999,1678277369928943841,,2455601300000,
1678277369929651418,5000,1678277369929041136,,2455611300000,
1678277369930211011,5001,1678277369929124569,,2455631300000,
1678277369972100325,5002,1678277369971493557,,2455641300000,
1678277369972144192,5003,1678277369971591658,,2455651300000,
1678277369972165675,5004,1678277369971668638,,2455671300000,
1678277370015025381,5005,1678277370014458933,,2455681300000,
1678277370015110834,5006,1678277370014564663,,2455691300000,
1678277370015141059,5007,1678277370014627225,,2455701300000,
1678277370057326258,5008,1678277370056987399,,2455721300000,
1678277370057352708,5009,1678277370057046090,,2455731300000,
1678277370057614528,5010,1678277370057082656,,2455741300000,
1678277370057624837,5011,1678277370057118961,,2455751300000,
1678277370100327838,5012,1678277370100116871,,2455771300000,
1678277370100340409,5013,1678277370100142393,,2455781300000,
1678277370100442605,5014,1678277370100157314,,2455791300000,
1678277370143646717,5015,1678277370143418715,,2455801300000,
1678277370143712274,5016,1678277370143453044,,2455821300000,
1678277370143735915,5017,1678277370143469084,,2455831300000,
1678277370143753530,5018,1678277370143484067,,2455841300000,
1678277370187149452,5019,1678277370186874608,,2455861300000,
1678277370187161011,5020,1678277370186901916,,2455871300000,
1678277370187167842,5021,1678277370186917542,,2455881300000,
1678277370230225843,5022,1678277370230030527,,2455891300000,
1678277370230236036,5023,1678277370230061529,,2455911300000,
1678277370230312681,5024,1678277370230078232,,2455921300000,
1678277370273197536,5025,1678277370273004653,,2455931300000,
1678277370273208204,5026,1678277370273027535,,2455941300000,
1678277370273307277,5027,1678277370273047757,,2455961300000,
1678277370273406518,5028,1678277370273061957,,2455971300000,
1678277370316403541,5029,1678277370315855906,,2455981300000,
