%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1678277353293616301,3683,1678277353292897466,,2438951300000,
1678277353293684395,3684,1678277353293023855,,2438971300000,
1678277353293713039,3685,1678277353293088311,,2438981300000,
1678277353293781208,3686,1678277353293142220,,2438991300000,
1678277353336257926,3687,1678277353335650401,,2439011300000,
1678277353336301371,3688,1678277353335745704,,2439021300000,
1678277353336329030,3689,1678277353335802824,,2439031300000,
1678277353379340078,3690,1678277353378754086,,2439041300000,
1678277353379380461,3691,1678277353378873677,,2439061300000,
1678277353379468035,3692,1678277353378931552,,2439071300000,
1678277353422565463,3693,1678277353421925415,,2439081300000,
1678277353422615971,3694,1678277353422026264,,2439091300000,
1678277353422785630,3695,1678277353422105881,,2439111300000,
1678277353423088287,3696,1678277353422161177,,2439121300000,
1678277353465473871,3697,1678277353464884128,,2439131300000,
1678277353465516846,3698,1678277353464981014,,2439141300000,
1678277353465649065,3699,1678277353465058482,,2439161300000,
1678277353509546139,3700,1678277353508868855,,2439171300000,
1678277353509621722,3701,1678277353508964389,,2439181300000,
1678277353509953161,3702,1678277353509036963,,2439191300000,
1678277353510013980,3703,1678277353509096460,,2439211300000,
1678277353552126743,3704,1678277353551452548,,2439221300000,
1678277353552246448,3705,1678277353551547690,,2439231300000,
1678277353552275650,3706,1678277353551619943,,2439241300000,
1678277353594816586,3707,1678277353594163240,,2439261300000,
1678277353594875752,3708,1678277353594256495,,2439271300000,
1678277353594914078,3709,1678277353594314177,,2439281300000,
1678277353638285854,3710,1678277353637860797,,2439301300000,
1678277353638312296,3711,1678277353637890890,,2439311300000,
1678277353638320776,3712,1678277353637914782,,2439321300000,
1678277353638328330,3713,1678277353637931303,,2439331300000,
1678277353680777872,3714,1678277353680396167,,2439351300000,
1678277353680799114,3715,1678277353680460963,,2439361300000,
1678277353680905590,3716,1678277353680493007,,2439371300000,
1678277353724231612,3717,1678277353723648424,,2439381300000,
1678277353724249122,3718,1678277353723701302,,2439401300000,
1678277353724272146,3719,1678277353723730315,,2439411300000,
1678277353724295002,3720,1678277353723757151,,2439421300000,
1678277353768180184,3721,1678277353767434676,,2439431300000,
1678277353768230089,3722,1678277353767536786,,2439451300000,
1678277353768262414,3723,1678277353767593227,,2439461300000,
1678277353810914483,3724,1678277353810273098,,2439471300000,
1678277353810966714,3725,1678277353810386123,,2439491300000,
1678277353811031777,3726,1678277353810442691,,2439501300000,
1678277353853743054,3727,1678277353853120821,,2439511300000,
1678277353853805874,3728,1678277353853215890,,2439521300000,
