%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1678277389322178017,6533,1678277389321548889,,2475011300000,
1678277389322239726,6534,1678277389321603179,,2475021300000,
1678277389365020231,6535,1678277389364372382,,2475031300000,
1678277389365078243,6536,1678277389364490779,,2475051300000,
1678277389365092064,6537,1678277389364548507,,2475061300000,
1678277389409001934,6538,1678277389408197229,,2475071300000,
1678277389409056053,6539,1678277389408293841,,2475081300000,
1678277389409088317,6540,1678277389408372411,,2475101300000,
1678277389451286285,6541,1678277389450636747,,2475111300000,
1678277389451330160,6542,1678277389450731971,,2475121300000,
1678277389451459012,6543,1678277389450789368,,2475131300000,
1678277389451518347,6544,1678277389450864987,,2475151300000,
1678277389494635389,6545,1678277389493806342,,2475161300000,
1678277389494687633,6546,1678277389493903009,,2475171300000,
1678277389494717244,6547,1678277389493959280,,2475181300000,
1678277389538103261,6548,1678277389537414448,,2475201300000,
1678277389538174678,6549,1678277389537509991,,2475211300000,
1678277389538236208,6550,1678277389537566761,,2475221300000,
1678277389538450657,6551,1678277389537639795,,2475241300000,
1678277389580470550,6552,1678277389579806741,,2475251300000,
1678277389580530712,6553,1678277389579937836,,2475261300000,
1678277389580773623,6554,1678277389580005967,,2475271300000,
1678277389623895553,6555,1678277389623281099,,2475291300000,
1678277389623948105,6556,1678277389623405221,,2475301300000,
1678277389624253811,6557,1678277389623483883,,2475311300000,
1678277389624289664,6558,1678277389623558773,,2475321300000,
1678277389666606709,6559,1678277389666402332,,2475341300000,
1678277389666618339,6560,1678277389666425592,,2475351300000,
1678277389666625119,6561,1678277389666439227,,2475361300000,
1678277389709279698,6562,1678277389709028808,,2475371300000,
1678277389709337721,6563,1678277389709051784,,2475391300000,
1678277389709364459,6564,1678277389709062588,,2475401300000,
1678277389752416880,6565,1678277389752141038,,2475411300000,
1678277389752441195,6566,1678277389752174887,,2475421300000,
1678277389752448099,6567,1678277389752194598,,2475441300000,
1678277389752458631,6568,1678277389752218890,,2475451300000,
1678277389796016836,6569,1678277389795385941,,2475461300000,
1678277389796060646,6570,1678277389795505882,,2475481300000,
1678277389796106600,6571,1678277389795560580,,2475491300000,
1678277389839159475,6572,1678277389838521642,,2475501300000,
1678277389839226468,6573,1678277389838616742,,2475511300000,
1678277389839278906,6574,1678277389838696128,,2475531300000,
1678277389839543471,6575,1678277389838757951,,2475541300000,
1678277389882955089,6576,1678277389882236485,,2475551300000,
1678277389883014660,6577,1678277389882352985,,2475561300000,
1678277389883289801,6578,1678277389882457461,,2475581300000,
1678277389925952449,6579,1678277389925307026,,2475591300000,
1678277389926017736,6580,1678277389925420591,,2475601300000,
1678277389926172472,6581,1678277389925496410,,2475611300000,
1678277389969081924,6582,1678277389968463095,,2475631300000,
1678277389969129403,6583,1678277389968575942,,2475641300000,
1678277389969166521,6584,1678277389968651240,,2475651300000,
1678277389969740479,6585,1678277389968750275,,2475671300000,
1678277390011714413,6586,1678277390011132109,,2475681300000,
1678277390011848875,6587,1678277390011243475,,2475691300000,
1678277390011899443,6588,1678277390011319996,,2475701300000,
1678277390054556543,6589,1678277390053932680,,2475721300000,
1678277390054599532,6590,1678277390054043194,,2475731300000,
1678277390054703830,6591,1678277390054119852,,2475741300000,
1678277390054955559,6592,1678277390054193517,,2475751300000,
1678277390098118311,6593,1678277390097467135,,2475771300000,
1678277390098240515,6594,1678277390097579282,,2475781300000,
1678277390098254910,6595,1678277390097654376,,2475791300000,
1678277390141519565,6596,1678277390140890383,,2475801300000,
1678277390141559999,6597,1678277390141033636,,2475821300000,
1678277390141728761,6598,1678277390141111327,,2475831300000,
1678277390184294447,6599,1678277390183369997,,2475841300000,
1678277390184362019,6600,1678277390183504874,,2475851300000,
1678277390184392876,6601,1678277390183583218,,2475871300000,
1678277390184428528,6602,1678277390183652988,,2475881300000,
1678277390227290037,6603,1678277390226481012,,2475891300000,
1678277390227403097,6604,1678277390226623725,,2475911300000,
1678277390227435958,6605,1678277390226700850,,2475921300000,
1678277390270812894,6606,1678277390270237512,,2475931300000,
1678277390270902027,6607,1678277390270330388,,2475941300000,
1678277390270930232,6608,1678277390270407955,,2475961300000,
1678277390271143065,6609,1678277390270461692,,2475971300000,
1678277390313548485,6610,1678277390313018119,,2475981300000,
1678277390313581214,6611,1678277390313110197,,2475991300000,
1678277390313741032,6612,1678277390313186691,,2476011300000,
1678277390356272467,6613,1678277390355775628,,2476021300000,
1678277390356817984,6614,1678277390355841804,,2476031300000,
1678277390356865347,6615,1678277390355912085,,2476041300000,
1678277390400119770,6616,1678277390399615538,,2476061300000,
1678277390400152174,6617,1678277390399677056,,2476071300000,
1678277390400178682,6618,1678277390399715696,,2476081300000,
1678277390400603161,6619,1678277390399762997,,2476101300000,
1678277390443184767,6620,1678277390442578080,,2476111300000,
1678277390443223284,6621,1678277390442673626,,2476121300000,
1678277390443310563,6622,1678277390442729350,,2476131300000,
1678277390486246581,6623,1678277390485658190,,2476151300000,
1678277390486336076,6624,1678277390485751951,,2476161300000,
1678277390486368170,6625,1678277390485808676,,2476171300000,
1678277390486560362,6626,1678277390485864582,,2476181300000,
1678277390528628385,6627,1678277390528029570,,2476201300000,
1678277390528667166,6628,1678277390528121112,,2476211300000,
1678277390528699601,6629,1678277390528177442,,2476221300000,
1678277390571916861,6630,1678277390571387350,,2476231300000,
1678277390571968748,6631,1678277390571504975,,2476251300000,
1678277390572369938,6632,1678277390571562159,,2476261300000,
1678277390615684903,6633,1678277390614969601,,2476271300000,
1678277390615751334,6634,1678277390615087778,,2476291300000,
1678277390615805462,6635,1678277390615145375,,2476301300000,
1678277390615826100,6636,1678277390615197584,,2476311300000,
1678277390658140327,6637,1678277390657366129,,2476321300000,
1678277390658174094,6638,1678277390657480993,,2476341300000,
1678277390658219763,6639,1678277390657537718,,2476351300000,
1678277390702006588,6640,1678277390701331516,,2476361300000,
1678277390702046445,6641,1678277390701426548,,2476371300000,
1678277390702186926,6642,1678277390701505076,,2476391300000,
1678277390702445962,6643,1678277390701557270,,2476401300000,
1678277390744919587,6644,1678277390744327745,,2476411300000,
1678277390744995754,6645,1678277390744441022,,2476421300000,
1678277390745336146,6646,1678277390744504587,,2476441300000,
1678277390788095454,6647,1678277390787451291,,2476451300000,
1678277390788146022,6648,1678277390787546461,,2476461300000,
1678277390788232704,6649,1678277390787618171,,2476471300000,
1678277390830863238,6650,1678277390830294318,,2476491300000,
1678277390830894777,6651,1678277390830382133,,2476501300000,
1678277390831169956,6652,1678277390830439054,,2476511300000,
1678277390831243792,6653,1678277390830510368,,2476531300000,
1678277390874065356,6654,1678277390873402288,,2476541300000,
1678277390874130307,6655,1678277390873498214,,2476551300000,
1678277390874212378,6656,1678277390873554520,,2476561300000,
1678277390917179645,6657,1678277390916516753,,2476581300000,
1678277390917218807,6658,1678277390916609414,,2476591300000,
1678277390917404845,6659,1678277390916665965,,2476601300000,
1678277390917991842,6660,1678277390916718006,,2476611300000,
1678277390960437020,6661,1678277390959757561,,2476631300000,
1678277390960490928,6662,1678277390959854519,,2476641300000,
1678277390960799470,6663,1678277390959933379,,2476651300000,
1678277391003439813,6664,1678277391002782582,,2476661300000,
1678277391003488022,6665,1678277391002902318,,2476681300000,
1678277391003531381,6666,1678277391002959180,,2476691300000,
1678277391003955056,6667,1678277391003011245,,2476701300000,
1678277391046133781,6668,1678277391045306801,,2476721300000,
1678277391046227996,6669,1678277391045401975,,2476731300000,
1678277391046480555,6670,1678277391045458568,,2476741300000,
1678277391088916644,6671,1678277391088299078,,2476751300000,
1678277391088950444,6672,1678277391088418450,,2476771300000,
1678277391089385236,6673,1678277391088475856,,2476781300000,
1678277391132556479,6674,1678277391131904454,,2476791300000,
1678277391132600411,6675,1678277391132000478,,2476801300000,
1678277391132792662,6676,1678277391132079411,,2476821300000,
1678277391133130582,6677,1678277391132133011,,2476831300000,
1678277391175751671,6678,1678277391175043595,,2476841300000,
1678277391175790496,6679,1678277391175138013,,2476851300000,
1678277391175821370,6680,1678277391175215650,,2476871300000,
1678277391218112265,6681,1678277391217496643,,2476881300000,
1678277391218147747,6682,1678277391217593416,,2476891300000,
1678277391218236705,6683,1678277391217665833,,2476901300000,
1678277391218547552,6684,1678277391217725604,,2476921300000,
1678277391261717365,6685,1678277391261040426,,2476931300000,
1678277391261790530,6686,1678277391261136289,,2476941300000,
1678277391261949923,6687,1678277391261214448,,2476961300000,
1678277391304895873,6688,1678277391304217664,,2476971300000,
1678277391304942072,6689,1678277391304311921,,2476981300000,
1678277391305020611,6690,1678277391304368626,,2476991300000,
1678277391347904019,6691,1678277391347231035,,2477011300000,
1678277391347946875,6692,1678277391347323708,,2477021300000,
1678277391347969056,6693,1678277391347380142,,2477031300000,
1678277391348002380,6694,1678277391347433326,,2477041300000,
1678277391391004499,6695,1678277391390265786,,2477061300000,
1678277391391083703,6696,1678277391390360374,,2477071300000,
1678277391391231124,6697,1678277391390416550,,2477081300000,
1678277391434135174,6698,1678277391433471051,,2477091300000,
1678277391434216114,6699,1678277391433573352,,2477111300000,
1678277391434249180,6700,1678277391433630619,,2477121300000,
1678277391434560622,6701,1678277391433684225,,2477131300000,
1678277391477498658,6702,1678277391476857094,,2477151300000,
1678277391477536652,6703,1678277391476951949,,2477161300000,
1678277391477555678,6704,1678277391477008136,,2477171300000,
1678277391519895825,6705,1678277391519182695,,2477181300000,
1678277391519940570,6706,1678277391519302036,,2477201300000,
1678277391519985745,6707,1678277391519359803,,2477211300000,
1678277391563143458,6708,1678277391562486623,,2477221300000,
1678277391563183779,6709,1678277391562583366,,2477231300000,
1678277391563198588,6710,1678277391562662288,,2477251300000,
1678277391563576633,6711,1678277391562714775,,2477261300000,
1678277391606680147,6712,1678277391606017027,,2477271300000,
1678277391606717421,6713,1678277391606111780,,2477281300000,
1678277391606731090,6714,1678277391606190620,,2477301300000,
1678277391649170734,6715,1678277391648503990,,2477311300000,
1678277391649209322,6716,1678277391648600510,,2477321300000,
1678277391649221884,6717,1678277391648673905,,2477331300000,
1678277391649778602,6718,1678277391648734564,,2477351300000,
1678277391692701325,6719,1678277391692068165,,2477361300000,
1678277391692739355,6720,1678277391692165256,,2477371300000,
1678277391692757707,6721,1678277391692244355,,2477391300000,
1678277391735463941,6722,1678277391734909461,,2477401300000,
1678277391735495367,6723,1678277391735003755,,2477411300000,
1678277391735559194,6724,1678277391735059651,,2477421300000,
1678277391778551270,6725,1678277391777874325,,2477441300000,
1678277391778590744,6726,1678277391777974961,,2477451300000,
1678277391778604759,6727,1678277391778035558,,2477461300000,
1678277391779102997,6728,1678277391778090975,,2477471300000,
1678277391821740150,6729,1678277391821017747,,2477491300000,
1678277391821782459,6730,1678277391821111905,,2477501300000,
1678277391821879927,6731,1678277391821168076,,2477511300000,
1678277391864838545,6732,1678277391864192922,,2477521300000,
