%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1678281433427658681,576,1678281433426954657,,1027991300000,
1678281433427712607,577,1678281433427048614,,1028001300000,
1678281433427781886,578,1678281433427127943,,1028021300000,
1678281433427944999,579,1678281433427181921,,1028031300000,
1678281433470734092,580,1678281433469922989,,1028041300000,
1678281433470809982,581,1678281433470019966,,1028051300000,
1678281433470850098,582,1678281433470098013,,1028071300000,
1678281433514076991,583,1678281433513376165,,1028081300000,
1678281433514119102,584,1678281433513471114,,1028091300000,
1678281433514182836,585,1678281433513543037,,1028101300000,
1678281433557198068,586,1678281433556523063,,1028121300000,
1678281433557270078,587,1678281433556646338,,1028131300000,
1678281433557326223,588,1678281433556708992,,1028141300000,
1678281433557514127,589,1678281433556783888,,1028161300000,
1678281433599438726,590,1678281433598790113,,1028171300000,
1678281433599515428,591,1678281433598886514,,1028181300000,
1678281433599537982,592,1678281433598942244,,1028191300000,
1678281433643561854,593,1678281433642850682,,1028211300000,
1678281433643640727,594,1678281433642946620,,1028221300000,
1678281433643690388,595,1678281433643003986,,1028231300000,
1678281433643707101,596,1678281433643055995,,1028241300000,
1678281433686332149,597,1678281433685690607,,1028261300000,
1678281433686365930,598,1678281433685784433,,1028271300000,
1678281433686391680,599,1678281433685841596,,1028281300000,
1678281433728601004,600,1678281433727964479,,1028291300000,
1678281433728885697,601,1678281433728069380,,1028311300000,
1678281433728924155,602,1678281433728126260,,1028321300000,
1678281433772836576,603,1678281433772192173,,1028331300000,
1678281433772936673,604,1678281433772290622,,1028341300000,
1678281433772985014,605,1678281433772368198,,1028361300000,
1678281433773429322,606,1678281433772429215,,1028371300000,
1678281433815343164,607,1678281433814747639,,1028381300000,
1678281433815406035,608,1678281433814864590,,1028401300000,
1678281433815474495,609,1678281433814921569,,1028411300000,
1678281433857494775,610,1678281433857295344,,1028421300000,
1678281433857508713,611,1678281433857317364,,1028431300000,
1678281433857519363,612,1678281433857334227,,1028451300000,
1678281433857527498,613,1678281433857344803,,1028461300000,
1678281433900698484,614,1678281433900367847,,1028471300000,
1678281433900730568,615,1678281433900391045,,1028481300000,
1678281433900760553,616,1678281433900402559,,1028501300000,
1678281433944096880,617,1678281433943785860,,1028511300000,
1678281433944122224,618,1678281433943814088,,1028521300000,
1678281433944128280,619,1678281433943835732,,1028541300000,
1678281433986846110,620,1678281433986524625,,1028551300000,
1678281433986867747,621,1678281433986561684,,1028561300000,
1678281433986962688,622,1678281433986582480,,1028571300000,
1678281433986980678,623,1678281433986610156,,1028591300000,
1678281434030275180,624,1678281434029897406,,1028601300000,
1678281434030289322,625,1678281434029929143,,1028611300000,
1678281434030305457,626,1678281434029946661,,1028621300000,
1678281434073452446,627,1678281434072932605,,1028641300000,
1678281434073486975,628,1678281434072979625,,1028651300000,
1678281434073520442,629,1678281434073006679,,1028661300000,
1678281434073536588,630,1678281434073031777,,1028671300000,
1678281434116445939,631,1678281434115947998,,1028691300000,
1678281434116483897,632,1678281434116022379,,1028701300000,
1678281434116578790,633,1678281434116064832,,1028711300000,
1678281434160469539,634,1678281434160080900,,1028721300000,
1678281434160482951,635,1678281434160110243,,1028741300000,
1678281434160488516,636,1678281434160133476,,1028751300000,
1678281434160496933,637,1678281434160148415,,1028761300000,
1678281434202874153,638,1678281434202033822,,1028771300000,
1678281434202951324,639,1678281434202139515,,1028791300000,
1678281434203007516,640,1678281434202197568,,1028801300000,
1678281434246791382,641,1678281434246123721,,1028811300000,
1678281434246826652,642,1678281434246242955,,1028831300000,
1678281434246872438,643,1678281434246299598,,1028841300000,
1678281434289305395,644,1678281434288586171,,1028851300000,
1678281434289337943,645,1678281434288681483,,1028861300000,
1678281434289776014,646,1678281434288760041,,1028881300000,
1678281434289800404,647,1678281434288813262,,1028891300000,
1678281434332714254,648,1678281434332031050,,1028901300000,
1678281434332755700,649,1678281434332143749,,1028911300000,
1678281434332784660,650,1678281434332205865,,1028931300000,
1678281434375046615,651,1678281434374461336,,1028941300000,
1678281434375091955,652,1678281434374556521,,1028951300000,
1678281434375112763,653,1678281434374614143,,1028961300000,
1678281434375311493,654,1678281434374686859,,1028981300000,
1678281434419028099,655,1678281434418414236,,1028991300000,
1678281434419088161,656,1678281434418512114,,1029001300000,
1678281434419129664,657,1678281434418588006,,1029021300000,
1678281434461619336,658,1678281434461065778,,1029031300000,
1678281434461667632,659,1678281434461158957,,1029041300000,
1678281434462193470,660,1678281434461216382,,1029051300000,
1678281434504514293,661,1678281434503834026,,1029071300000,
1678281434504549625,662,1678281434503971152,,1029081300000,
1678281434504592318,663,1678281434504029379,,1029091300000,
1678281434504831529,664,1678281434504082225,,1029101300000,
1678281434548280399,665,1678281434547724531,,1029121300000,
1678281434548354382,666,1678281434547816514,,1029131300000,
1678281434548594317,667,1678281434547890621,,1029141300000,
1678281434590506373,668,1678281434589864187,,1029151300000,
1678281434590872606,669,1678281434589985039,,1029171300000,
1678281434590940819,670,1678281434590041910,,1029181300000,
1678281434590961118,671,1678281434590094374,,1029191300000,
1678281434634588746,672,1678281434633864213,,1029211300000,
1678281434634627432,673,1678281434633958374,,1029221300000,
1678281434634645078,674,1678281434634014775,,1029231300000,
1678281434677153001,675,1678281434676549167,,1029241300000,
1678281434677192296,676,1678281434676662599,,1029261300000,
1678281434677367339,677,1678281434676719036,,1029271300000,
1678281434719999784,678,1678281434719394672,,1029281300000,
1678281434720039048,679,1678281434719487776,,1029291300000,
1678281434720215296,680,1678281434719565404,,1029311300000,
1678281434720663034,681,1678281434719618909,,1029321300000,
1678281434763861499,682,1678281434763299321,,1029331300000,
1678281434763949802,683,1678281434763406757,,1029341300000,
1678281434763994194,684,1678281434763469530,,1029361300000,
1678281434806120529,685,1678281434805538087,,1029371300000,
1678281434806178765,686,1678281434805638058,,1029381300000,
1678281434807220049,687,1678281434805708561,,1029391300000,
1678281434807291471,688,1678281434805767164,,1029411300000,
1678281434849335847,689,1678281434849053866,,1029421300000,
1678281434849361712,690,1678281434849084331,,1029431300000,
1678281434849451670,691,1678281434849107889,,1029451300000,
1678281434892276484,692,1678281434891864535,,1029461300000,
1678281434892304916,693,1678281434891945143,,1029471300000,
1678281434892502267,694,1678281434891976444,,1029481300000,
1678281434935657953,695,1678281434934983533,,1029501300000,
1678281434935783622,696,1678281434935078844,,1029511300000,
1678281434935818489,697,1678281434935135134,,1029521300000,
1678281434935898285,698,1678281434935203196,,1029531300000,
1678281434978414303,699,1678281434977756752,,1029551300000,
1678281434978454398,700,1678281434977852190,,1029561300000,
1678281434978596269,701,1678281434977909323,,1029571300000,
1678281435022067446,702,1678281435021511802,,1029581300000,
1678281435022102949,703,1678281435021656391,,1029601300000,
1678281435022286890,704,1678281435021716271,,1029611300000,
1678281435022620231,705,1678281435021771277,,1029621300000,
1678281435064737770,706,1678281435064180933,,1029641300000,
1678281435064804539,707,1678281435064276750,,1029651300000,
1678281435065157150,708,1678281435064334725,,1029661300000,
1678281435108132606,709,1678281435107477846,,1029671300000,
1678281435108197283,710,1678281435107593426,,1029691300000,
1678281435108345093,711,1678281435107650772,,1029701300000,
1678281435151723497,712,1678281435151078546,,1029711300000,
1678281435151796471,713,1678281435151172694,,1029721300000,
1678281435151917364,714,1678281435151518630,,1029741300000,
1678281435152452709,715,1678281435151920986,,1029751300000,
1678281435194258320,716,1678281435193611991,,1029761300000,
1678281435194296818,717,1678281435193707668,,1029771300000,
1678281435194482693,718,1678281435193785241,,1029791300000,
1678281435237737546,719,1678281435237085441,,1029801300000,
1678281435237775714,720,1678281435237182115,,1029811300000,
1678281435237788338,721,1678281435237261161,,1029831300000,
1678281435238126359,722,1678281435237314896,,1029841300000,
1678281435280939315,723,1678281435280194958,,1029851300000,
1678281435280997081,724,1678281435280291742,,1029861300000,
1678281435281131463,725,1678281435280370242,,1029881300000,
1678281435323853630,726,1678281435323172306,,1029891300000,
1678281435324015390,727,1678281435323270405,,1029901300000,
1678281435324380007,728,1678281435323327473,,1029911300000,
1678281435366725869,729,1678281435366075998,,1029931300000,
1678281435366830324,730,1678281435366188421,,1029941300000,
1678281435366895592,731,1678281435366263311,,1029951300000,
1678281435367383881,732,1678281435366357808,,1029961300000,
1678281435409803750,733,1678281435409117262,,1029981300000,
1678281435409957999,734,1678281435409213451,,1029991300000,
1678281435410359028,735,1678281435409270563,,1030001300000,
1678281435452851359,736,1678281435452213657,,1030011300000,
1678281435452913331,737,1678281435452317900,,1030031300000,
1678281435452986271,738,1678281435452374405,,1030041300000,
1678281435453043459,739,1678281435452427205,,1030051300000,
1678281435496491537,740,1678281435495825627,,1030071300000,
1678281435496537044,741,1678281435495956401,,1030081300000,
1678281435496559210,742,1678281435496015807,,1030091300000,
1678281435539347519,743,1678281435538611502,,1030101300000,
1678281435539386061,744,1678281435538732052,,1030121300000,
1678281435539415043,745,1678281435538790132,,1030131300000,
1678281435539553816,746,1678281435538844096,,1030141300000,
1678281435583065259,747,1678281435582210645,,1030151300000,
1678281435583104429,748,1678281435582329517,,1030171300000,
1678281435583136070,749,1678281435582386574,,1030181300000,
1678281435624982667,750,1678281435624335054,,1030191300000,
1678281435625045275,751,1678281435624488323,,1030201300000,
1678281435625206425,752,1678281435624589333,,1030221300000,
1678281435668334364,753,1678281435667706680,,1030231300000,
1678281435668393773,754,1678281435667805387,,1030241300000,
1678281435668496682,755,1678281435667908845,,1030261300000,
1678281435668790151,756,1678281435667971643,,1030271300000,
1678281435712128868,757,1678281435711436451,,1030281300000,
1678281435712189561,758,1678281435711533573,,1030291300000,
1678281435712337578,759,1678281435711610068,,1030311300000,
1678281435754225115,760,1678281435753542364,,1030321300000,
1678281435754316852,761,1678281435753640485,,1030331300000,
1678281435754457982,762,1678281435753697024,,1030341300000,
1678281435754500595,763,1678281435753771008,,1030361300000,
1678281435797255066,764,1678281435796568135,,1030371300000,
1678281435797314333,765,1678281435796696933,,1030381300000,
1678281435797478666,766,1678281435796762535,,1030391300000,
1678281435840563846,767,1678281435839895654,,1030411300000,
1678281435840609351,768,1678281435839996588,,1030421300000,
1678281435840640750,769,1678281435840053503,,1030431300000,
1678281435883545854,770,1678281435882857362,,1030441300000,
1678281435883591987,771,1678281435882962570,,1030461300000,
1678281435883847552,772,1678281435883019160,,1030471300000,
1678281435883900563,773,1678281435883071775,,1030481300000,
1678281435926419498,774,1678281435925841185,,1030501300000,
1678281435926474393,775,1678281435925936361,,1030511300000,
1678281435926498594,776,1678281435925992592,,1030521300000,
1678281435969615951,777,1678281435968957903,,1030531300000,
1678281435969682152,778,1678281435969079053,,1030551300000,
1678281435969701626,779,1678281435969136894,,1030561300000,
1678281435969987245,780,1678281435969198429,,1030571300000,
1678281436012504370,781,1678281436012192138,,1030581300000,
1678281436012520231,782,1678281436012213939,,1030601300000,
1678281436012527447,783,1678281436012224266,,1030611300000,
1678281436056465113,784,1678281436055740171,,1030621300000,
1678281436056546829,785,1678281436055852547,,1030631300000,
1678281436056576122,786,1678281436055942118,,1030651300000,
1678281436099100337,787,1678281436098410263,,1030661300000,
1678281436099141368,788,1678281436098508652,,1030671300000,
1678281436099248211,789,1678281436098585555,,1030691300000,
1678281436099274972,790,1678281436098639277,,1030701300000,
1678281436142717739,791,1678281436142127890,,1030711300000,
1678281436142751391,792,1678281436142224420,,1030721300000,
1678281436142796435,793,1678281436142302389,,1030741300000,
1678281436185260933,794,1678281436184547260,,1030751300000,
1678281436185331908,795,1678281436184643898,,1030761300000,
1678281436185547507,796,1678281436184700649,,1030771300000,
1678281436185575349,797,1678281436184774610,,1030791300000,
1678281436228317115,798,1678281436227584137,,1030801300000,
1678281436228443228,799,1678281436227682115,,1030811300000,
1678281436228483240,800,1678281436227754391,,1030821300000,
1678281436271755764,801,1678281436271053193,,1030841300000,
1678281436271793172,802,1678281436271147389,,1030851300000,
1678281436271971906,803,1678281436271204193,,1030861300000,
1678281436315434980,804,1678281436314755623,,1030881300000,
1678281436315474390,805,1678281436314861915,,1030891300000,
1678281436315534748,806,1678281436314928226,,1030901300000,
1678281436315772663,807,1678281436314982456,,1030911300000,
1678281436357811565,808,1678281436357175924,,1030931300000,
1678281436357860781,809,1678281436357270103,,1030941300000,
1678281436358076906,810,1678281436357327216,,1030951300000,
1678281436400649788,811,1678281436399962298,,1030961300000,
1678281436400706538,812,1678281436400081653,,1030981300000,
1678281436400959207,813,1678281436400138593,,1030991300000,
1678281436401033177,814,1678281436400192246,,1031001300000,
1678281436444707977,815,1678281436443856438,,1031011300000,
1678281436444752914,816,1678281436443998896,,1031031300000,
1678281436444782997,817,1678281436444057108,,1031041300000,
1678281436487342277,818,1678281436486637281,,1031051300000,
1678281436487403610,819,1678281436486752577,,1031061300000,
1678281436487481974,820,1678281436486814843,,1031081300000,
1678281436530712424,821,1678281436530106763,,1031091300000,
1678281436530763643,822,1678281436530204148,,1031101300000,
1678281436530847271,823,1678281436530281090,,1031121300000,
1678281436531164594,824,1678281436530333708,,1031131300000,
1678281436573639654,825,1678281436572933793,,1031141300000,
1678281436573753028,826,1678281436573032406,,1031151300000,
1678281436573774661,827,1678281436573111483,,1031171300000,
1678281436616481720,828,1678281436615865639,,1031181300000,
1678281436616536403,829,1678281436616000738,,1031191300000,
1678281436616555383,830,1678281436616060505,,1031201300000,
1678281436616946171,831,1678281436616159812,,1031221300000,
1678281436659199631,832,1678281436658595916,,1031231300000,
1678281436659245918,833,1678281436658694697,,1031241300000,
1678281436659293628,834,1678281436658767310,,1031251300000,
1678281436703136411,835,1678281436702534709,,1031271300000,
1678281436703171115,836,1678281436702629681,,1031281300000,
1678281436703203152,837,1678281436702687274,,1031291300000,
1678281436746196248,838,1678281436745601609,,1031311300000,
1678281436746425787,839,1678281436745696845,,1031321300000,
1678281436746492512,840,1678281436745753410,,1031331300000,
1678281436746833575,841,1678281436745805123,,1031341300000,
1678281436788835687,842,1678281436788018370,,1031361300000,
1678281436788892099,843,1678281436788114561,,1031371300000,
1678281436788933991,844,1678281436788172835,,1031381300000,
1678281436832278197,845,1678281436831594342,,1031391300000,
1678281436832336269,846,1678281436831711339,,1031411300000,
1678281436832535476,847,1678281436831769567,,1031421300000,
1678281436832739930,848,1678281436831823195,,1031431300000,
1678281436875492461,849,1678281436874820851,,1031441300000,
1678281436875550528,850,1678281436874926527,,1031461300000,
1678281436875697023,851,1678281436874984481,,1031471300000,
1678281436917614713,852,1678281436917281108,,1031481300000,
1678281436917648376,853,1678281436917344779,,1031501300000,
1678281436917675840,854,1678281436917355670,,1031511300000,
1678281436917731597,855,1678281436917365670,,1031521300000,
1678281436960825569,856,1678281436960417185,,1031531300000,
1678281436960849857,857,1678281436960464863,,1031551300000,
1678281436960882455,858,1678281436960488092,,1031561300000,
1678281437004626276,859,1678281437003982917,,1031571300000,
1678281437004763272,860,1678281437004105844,,1031581300000,
1678281437004801539,861,1678281437004188554,,1031601300000,
1678281437047512485,862,1678281437047109095,,1031611300000,
1678281437047544631,863,1678281437047149405,,1031621300000,
1678281437047559002,864,1678281437047172682,,1031631300000,
1678281437047674764,865,1678281437047203400,,1031651300000,
1678281437090496677,866,1678281437089881780,,1031661300000,
1678281437090761693,867,1678281437089975486,,1031671300000,
1678281437090885793,868,1678281437090048333,,1031681300000,
1678281437132873731,869,1678281437132473104,,1031701300000,
1678281437132883758,870,1678281437132505116,,1031711300000,
1678281437132902417,871,1678281437132521700,,1031721300000,
1678281437132917769,872,1678281437132541434,,1031731300000,
1678281437177150816,873,1678281437176535796,,1031751300000,
1678281437177421382,874,1678281437176631891,,1031761300000,
1678281437177456693,875,1678281437176689941,,1031771300000,
1678281437220368071,876,1678281437219695307,,1031791300000,
1678281437220415997,877,1678281437219792179,,1031801300000,
1678281437220649932,878,1678281437219848491,,1031811300000,
1678281437263244246,879,1678281437262559528,,1031821300000,
1678281437263281765,880,1678281437262679076,,1031841300000,
1678281437263668620,881,1678281437262736047,,1031851300000,
1678281437263779961,882,1678281437262788789,,1031861300000,
1678281437306034131,883,1678281437305554470,,1031871300000,
1678281437306056940,884,1678281437305594683,,1031891300000,
1678281437306077115,885,1678281437305615902,,1031901300000,
1678281437349118888,886,1678281437348435083,,1031911300000,
1678281437349267982,887,1678281437348554145,,1031931300000,
1678281437349303615,888,1678281437348610840,,1031941300000,
1678281437349362730,889,1678281437348665067,,1031951300000,
1678281437392060947,890,1678281437391280308,,1031961300000,
1678281437392109388,891,1678281437391398737,,1031981300000,
1678281437392132763,892,1678281437391456903,,1031991300000,
1678281437435073971,893,1678281437434463828,,1032001300000,
1678281437435117363,894,1678281437434593768,,1032011300000,
1678281437435288377,895,1678281437434701012,,1032031300000,
1678281437477953939,896,1678281437477564472,,1032041300000,
1678281437477987960,897,1678281437477606317,,1032051300000,
1678281437478088861,898,1678281437477636604,,1032061300000,
1678281437478200519,899,1678281437477660155,,1032081300000,
1678281437522108287,900,1678281437521432753,,1032091300000,
1678281437522145173,901,1678281437521530207,,1032101300000,
1678281437522348878,902,1678281437521602339,,1032111300000,
1678281437564490928,903,1678281437563787341,,1032131300000,
1678281437564548357,904,1678281437563909494,,1032141300000,
1678281437564718625,905,1678281437563984478,,1032151300000,
1678281437565297221,906,1678281437564061312,,1032171300000,
1678281437607515252,907,1678281437606804974,,1032181300000,
1678281437607560587,908,1678281437606902041,,1032191300000,
1678281437607820732,909,1678281437606958934,,1032201300000,
1678281437651034664,910,1678281437650328228,,1032221300000,
1678281437651087750,911,1678281437650425679,,1032231300000,
1678281437651109594,912,1678281437650482717,,1032241300000,
1678281437693892215,913,1678281437693196701,,1032251300000,
1678281437693989556,914,1678281437693316943,,1032271300000,
1678281437694074532,915,1678281437693375497,,1032281300000,
1678281437694590152,916,1678281437693428815,,1032291300000,
1678281437737014265,917,1678281437736187422,,1032301300000,
1678281437737059004,918,1678281437736290546,,1032321300000,
1678281437737097782,919,1678281437736347557,,1032331300000,
1678281437780120801,920,1678281437779473833,,1032341300000,
1678281437780154525,921,1678281437779570884,,1032351300000,
1678281437780190042,922,1678281437779648127,,1032371300000,
1678281437780232778,923,1678281437779701742,,1032381300000,
1678281437822718317,924,1678281437822086630,,1032391300000,
1678281437822756118,925,1678281437822207393,,1032411300000,
1678281437823172302,926,1678281437822264602,,1032421300000,
1678281437866039538,927,1678281437865361774,,1032431300000,
1678281437866085248,928,1678281437865458861,,1032441300000,
1678281437866224099,929,1678281437865536588,,1032461300000,
1678281437909864144,930,1678281437909164141,,1032471300000,
1678281437909960635,931,1678281437909261349,,1032481300000,
1678281437909984478,932,1678281437909332944,,1032491300000,
1678281437910102668,933,1678281437909392065,,1032511300000,
1678281437952335896,934,1678281437951802782,,1032521300000,
1678281437952372659,935,1678281437951918825,,1032531300000,
1678281437952520504,936,1678281437951991129,,1032541300000,
1678281437995987744,937,1678281437995354446,,1032561300000,
1678281437996032047,938,1678281437995448730,,1032571300000,
1678281437996162991,939,1678281437995506158,,1032581300000,
1678281437996272414,940,1678281437995578527,,1032601300000,
1678281438039062834,941,1678281438038755685,,1032611300000,
1678281438039181861,942,1678281438038788930,,1032621300000,
1678281438039197915,943,1678281438038806391,,1032631300000,
1678281438082234798,944,1678281438081439498,,1032651300000,
1678281438082275266,945,1678281438081533960,,1032661300000,
1678281438082290084,946,1678281438081590244,,1032671300000,
1678281438082600794,947,1678281438081642889,,1032681300000,
1678281438123989807,948,1678281438123730245,,1032701300000,
1678281438123998586,949,1678281438123750622,,1032711300000,
1678281438124024401,950,1678281438123761309,,1032721300000,
1678281438167240028,951,1678281438167026857,,1032731300000,
1678281438167251422,952,1678281438167048955,,1032751300000,
1678281438167292763,953,1678281438167059485,,1032761300000,
