%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1678278481269991879,2024,1678278481269333501,,41940300000,
1678278481270075389,2025,1678278481269449609,,41950300000,
1678278481270112296,2026,1678278481269524899,,41960300000,
1678278481313389380,2027,1678278481312746363,,41980300000,
1678278481313451150,2028,1678278481312860243,,41990300000,
1678278481313499710,2029,1678278481312936993,,42000300000,
1678278481313684519,2030,1678278481313009547,,42010300000,
1678278481356848645,2031,1678278481356223328,,42030300000,
1678278481356979295,2032,1678278481356335722,,42040300000,
1678278481357334739,2033,1678278481356411402,,42050300000,
1678278481399228290,2034,1678278481398627089,,42060300000,
1678278481399308921,2035,1678278481398754913,,42080300000,
1678278481399372920,2036,1678278481398831787,,42090300000,
1678278481399403107,2037,1678278481398906148,,42100300000,
1678278481443116572,2038,1678278481442527704,,42110300000,
1678278481443195941,2039,1678278481442650337,,42130300000,
1678278481443216864,2040,1678278481442725842,,42140300000,
1678278481486399718,2041,1678278481485629156,,42150300000,
1678278481486483918,2042,1678278481485776242,,42170300000,
1678278481486518077,2043,1678278481485855085,,42180300000,
1678278481528778323,2044,1678278481528149690,,42190300000,
1678278481528851681,2045,1678278481528264499,,42200300000,
1678278481528892627,2046,1678278481528370148,,42220300000,
1678278481529038036,2047,1678278481528448348,,42230300000,
1678278481571648178,2048,1678278481570981870,,42240300000,
1678278481571692992,2049,1678278481571079748,,42250300000,
1678278481571830691,2050,1678278481571158965,,42270300000,
1678278481614979957,2051,1678278481614267119,,42280300000,
1678278481615045892,2052,1678278481614365664,,42290300000,
1678278481615196823,2053,1678278481614439332,,42300300000,
1678278481615384488,2054,1678278481614503605,,42320300000,
1678278481658363154,2055,1678278481657574400,,42330300000,
1678278481658408081,2056,1678278481657671359,,42340300000,
1678278481658433242,2057,1678278481657743826,,42350300000,
1678278481700883552,2058,1678278481700242114,,42370300000,
1678278481700930438,2059,1678278481700334314,,42380300000,
1678278481701119472,2060,1678278481700390331,,42390300000,
1678278481744565291,2061,1678278481743855286,,42410300000,
1678278481744628499,2062,1678278481743984528,,42420300000,
1678278481744733365,2063,1678278481744042468,,42430300000,
1678278481744835178,2064,1678278481744096936,,42440300000,
1678278481788118079,2065,1678278481787457521,,42460300000,
1678278481788153461,2066,1678278481787554279,,42470300000,
1678278481788179795,2067,1678278481787612105,,42480300000,
1678278481830912966,2068,1678278481830096549,,42490300000,
1678278481830961203,2069,1678278481830198949,,42510300000,
1678278481831312366,2070,1678278481830256158,,42520300000,
1678278481831344643,2071,1678278481830310480,,42530300000,
1678278481874215896,2072,1678278481873498081,,42540300000,
1678278481874262282,2073,1678278481873617422,,42560300000,
1678278481874317689,2074,1678278481873675630,,42570300000,
1678278481916909085,2075,1678278481916232315,,42580300000,
1678278481916963532,2076,1678278481916352943,,42600300000,
1678278481917131931,2077,1678278481916411134,,42610300000,
1678278481917161415,2078,1678278481916465057,,42620300000,
1678278481960299332,2079,1678278481959688607,,42630300000,
1678278481960341920,2080,1678278481959805581,,42650300000,
1678278481960371573,2081,1678278481959862491,,42660300000,
1678278482002882996,2082,1678278482002217316,,42670300000,
1678278482002956259,2083,1678278482002326541,,42680300000,
1678278482002978105,2084,1678278482002389019,,42700300000,
1678278482046036959,2085,1678278482045716012,,42710300000,
1678278482046059749,2086,1678278482045750772,,42720300000,
1678278482046220263,2087,1678278482045777506,,42730300000,
1678278482046356655,2088,1678278482045798465,,42750300000,
1678278482088941748,2089,1678278482088187073,,42760300000,
1678278482088988714,2090,1678278482088282349,,42770300000,
1678278482089017215,2091,1678278482088360467,,42790300000,
1678278482131900765,2092,1678278482131287918,,42800300000,
1678278482131938727,2093,1678278482131382180,,42810300000,
1678278482132324724,2094,1678278482131439169,,42820300000,
1678278482132341662,2095,1678278482131514693,,42840300000,
1678278482175791200,2096,1678278482175123270,,42850300000,
1678278482175905416,2097,1678278482175218670,,42860300000,
1678278482176004132,2098,1678278482175275482,,42870300000,
1678278482219048626,2099,1678278482218390433,,42890300000,
