%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1678277405483378937,7809,1678277405482604177,,2491151300000,
1678277405483451244,7810,1678277405482701459,,2491161300000,
1678277405483467514,7811,1678277405482773109,,2491171300000,
1678277405526220165,7812,1678277405525586495,,2491191300000,
1678277405526288878,7813,1678277405525681134,,2491201300000,
1678277405526349287,7814,1678277405525738704,,2491211300000,
1678277405526472737,7815,1678277405525792043,,2491221300000,
1678277405570357579,7816,1678277405569684345,,2491241300000,
1678277405570415156,7817,1678277405569796810,,2491251300000,
1678277405570450309,7818,1678277405569871921,,2491261300000,
1678277405612813580,7819,1678277405612195150,,2491281300000,
1678277405612874942,7820,1678277405612306602,,2491291300000,
1678277405612986601,7821,1678277405612382573,,2491301300000,
1678277405656467966,7822,1678277405655844692,,2491311300000,
1678277405656552236,7823,1678277405656029203,,2491331300000,
1678277405656867281,7824,1678277405656113174,,2491341300000,
1678277405656912450,7825,1678277405656181064,,2491351300000,
1678277405699630425,7826,1678277405698960288,,2491361300000,
1678277405699745469,7827,1678277405699078870,,2491381300000,
1678277405699836783,7828,1678277405699138753,,2491391300000,
1678277405741728542,7829,1678277405741075428,,2491401300000,
1678277405741792619,7830,1678277405741186479,,2491411300000,
1678277405742293315,7831,1678277405741249693,,2491431300000,
1678277405742312437,7832,1678277405741301584,,2491441300000,
1678277405784716671,7833,1678277405784103820,,2491451300000,
1678277405784758712,7834,1678277405784221425,,2491471300000,
1678277405784914634,7835,1678277405784277583,,2491481300000,
1678277405827321893,7836,1678277405827116524,,2491491300000,
1678277405827337677,7837,1678277405827137111,,2491501300000,
1678277405827346950,7838,1678277405827152666,,2491521300000,
1678277405870454946,7839,1678277405870222262,,2491531300000,
1678277405870471605,7840,1678277405870245745,,2491541300000,
1678277405870474479,7841,1678277405870259196,,2491551300000,
1678277405870667267,7842,1678277405870278429,,2491571300000,
1678277405914178328,7843,1678277405913824118,,2491581300000,
1678277405914249776,7844,1678277405913854443,,2491591300000,
1678277405914261237,7845,1678277405913875750,,2491601300000,
1678277405957813018,7846,1678277405957202175,,2491621300000,
1678277405957941970,7847,1678277405957322093,,2491631300000,
1678277405957971582,7848,1678277405957380741,,2491641300000,
1678277405958435823,7849,1678277405957455817,,2491651300000,
1678277406001032146,7850,1678277406000319725,,2491671300000,
1678277406001101981,7851,1678277406000414794,,2491681300000,
1678277406001139757,7852,1678277406000471879,,2491691300000,
1678277406043655512,7853,1678277406043090413,,2491711300000,
1678277406043839968,7854,1678277406043180273,,2491721300000,
1678277406044082994,7855,1678277406043236884,,2491731300000,
1678277406044131273,7856,1678277406043289927,,2491741300000,
1678277406086732936,7857,1678277406086063318,,2491761300000,
1678277406086811510,7858,1678277406086157474,,2491771300000,
1678277406086828803,7859,1678277406086213832,,2491781300000,
1678277406130160813,7860,1678277406129616055,,2491791300000,
1678277406130540674,7861,1678277406129728100,,2491811300000,
1678277406130617326,7862,1678277406129785433,,2491821300000,
1678277406173077974,7863,1678277406172387059,,2491831300000,
1678277406173116430,7864,1678277406172481551,,2491841300000,
1678277406173303068,7865,1678277406172561545,,2491861300000,
1678277406173394817,7866,1678277406172615658,,2491871300000,
1678277406215962300,7867,1678277406215302353,,2491881300000,
1678277406216013444,7868,1678277406215417260,,2491901300000,
1678277406216225839,7869,1678277406215474684,,2491911300000,
1678277406259391823,7870,1678277406258673156,,2491921300000,
1678277406259450016,7871,1678277406258768893,,2491931300000,
1678277406259588604,7872,1678277406258847056,,2491951300000,
1678277406259800406,7873,1678277406258901340,,2491961300000,
1678277406302631110,7874,1678277406301949423,,2491971300000,
1678277406302670862,7875,1678277406302044362,,2491981300000,
1678277406302995736,7876,1678277406302121786,,2492001300000,
1678277406345789049,7877,1678277406345187500,,2492011300000,
1678277406345960068,7878,1678277406345281730,,2492021300000,
1678277406346162425,7879,1678277406345352096,,2492031300000,
1678277406388721613,7880,1678277406388032514,,2492051300000,
1678277406388856203,7881,1678277406388125622,,2492061300000,
1678277406388908961,7882,1678277406388182175,,2492071300000,
1678277406388991147,7883,1678277406388250034,,2492081300000,
1678277406431779023,7884,1678277406431072331,,2492101300000,
1678277406431837689,7885,1678277406431166256,,2492111300000,
1678277406431970972,7886,1678277406431222306,,2492121300000,
1678277406475040383,7887,1678277406474481969,,2492141300000,
1678277406475112721,7888,1678277406474578182,,2492151300000,
1678277406475330474,7889,1678277406474635053,,2492161300000,
1678277406475521499,7890,1678277406474687428,,2492171300000,
1678277406517670575,7891,1678277406517098925,,2492191300000,
1678277406517719204,7892,1678277406517214258,,2492201300000,
1678277406517840900,7893,1678277406517274567,,2492211300000,
1678277406560216152,7894,1678277406559755745,,2492221300000,
1678277406560264689,7895,1678277406559823825,,2492241300000,
1678277406560285959,7896,1678277406559854732,,2492251300000,
1678277406603738017,7897,1678277406603391670,,2492261300000,
1678277406603756304,7898,1678277406603432644,,2492271300000,
1678277406603804165,7899,1678277406603464689,,2492291300000,
1678277406603819002,7900,1678277406603485878,,2492301300000,
1678277406646492853,7901,1678277406646119734,,2492311300000,
1678277406646522973,7902,1678277406646183294,,2492331300000,
1678277406646760012,7903,1678277406646208991,,2492341300000,
1678277406690547042,7904,1678277406689850242,,2492351300000,
1678277406690628445,7905,1678277406689945867,,2492361300000,
1678277406690646959,7906,1678277406690023363,,2492381300000,
1678277406691205203,7907,1678277406690076162,,2492391300000,
1678277406732923391,7908,1678277406732257919,,2492401300000,
1678277406732965766,7909,1678277406732352479,,2492411300000,
1678277406733138825,7910,1678277406732429149,,2492431300000,
1678277406775932577,7911,1678277406775342550,,2492441300000,
1678277406776115668,7912,1678277406775438172,,2492451300000,
1678277406776163714,7913,1678277406775509001,,2492461300000,
1678277406819473869,7914,1678277406818826175,,2492481300000,
1678277406819512172,7915,1678277406818919281,,2492491300000,
1678277406819553744,7916,1678277406818975064,,2492501300000,
1678277406819859010,7917,1678277406819046343,,2492521300000,
1678277406862280469,7918,1678277406861541831,,2492531300000,
1678277406862353473,7919,1678277406861635640,,2492541300000,
1678277406862482978,7920,1678277406861692232,,2492551300000,
1678277406905970198,7921,1678277406905339292,,2492571300000,
1678277406906317446,7922,1678277406905437903,,2492581300000,
1678277406906340968,7923,1678277406905506696,,2492591300000,
1678277406906786445,7924,1678277406905568884,,2492601300000,
1678277406949204431,7925,1678277406948606010,,2492621300000,
1678277406949240851,7926,1678277406948695834,,2492631300000,
1678277406949268030,7927,1678277406948751366,,2492641300000,
1678277406992480855,7928,1678277406991750521,,2492651300000,
1678277406992575600,7929,1678277406991853100,,2492671300000,
1678277406992716249,7930,1678277406991931296,,2492681300000,
1678277407035301135,7931,1678277407034636428,,2492691300000,
1678277407035368732,7932,1678277407034760477,,2492701300000,
1678277407035384039,7933,1678277407034822732,,2492721300000,
1678277407035403803,7934,1678277407034875070,,2492731300000,
1678277407077827515,7935,1678277407077221691,,2492741300000,
1678277407077874367,7936,1678277407077338936,,2492761300000,
1678277407077937890,7937,1678277407077396212,,2492771300000,
1678277407121416205,7938,1678277407120940840,,2492781300000,
1678277407121453810,7939,1678277407121011028,,2492791300000,
1678277407121546997,7940,1678277407121065687,,2492811300000,
1678277407121855281,7941,1678277407121102012,,2492821300000,
1678277407163946721,7942,1678277407163362354,,2492831300000,
1678277407163981748,7943,1678277407163460925,,2492841300000,
1678277407164127510,7944,1678277407163537544,,2492861300000,
1678277407207827965,7945,1678277407207191236,,2492871300000,
1678277407207870659,7946,1678277407207287724,,2492881300000,
1678277407208035665,7947,1678277407207343937,,2492891300000,
1678277407251243638,7948,1678277407250590746,,2492911300000,
1678277407251287779,7949,1678277407250685213,,2492921300000,
1678277407251338867,7950,1678277407250742241,,2492931300000,
1678277407251583725,7951,1678277407250816470,,2492951300000,
1678277407294126554,7952,1678277407293464996,,2492961300000,
1678277407294247825,7953,1678277407293588220,,2492971300000,
1678277407294534259,7954,1678277407293652507,,2492981300000,
1678277407336340860,7955,1678277407335722875,,2493001300000,
1678277407336382029,7956,1678277407335815313,,2493011300000,
1678277407336411466,7957,1678277407335895870,,2493021300000,
1678277407336824485,7958,1678277407335954972,,2493031300000,
1678277407379820794,7959,1678277407379147068,,2493051300000,
1678277407380006610,7960,1678277407379240485,,2493061300000,
1678277407380052260,7961,1678277407379296900,,2493071300000,
1678277407422541716,7962,1678277407421972543,,2493081300000,
1678277407422592473,7963,1678277407422071174,,2493101300000,
1678277407422852341,7964,1678277407422127245,,2493111300000,
1678277407422894390,7965,1678277407422180836,,2493121300000,
1678277407466354454,7966,1678277407465686391,,2493131300000,
1678277407466536820,7967,1678277407465795286,,2493151300000,
1678277407466672479,7968,1678277407465853531,,2493161300000,
1678277407509331316,7969,1678277407508691734,,2493171300000,
1678277407509404091,7970,1678277407508809271,,2493191300000,
1678277407509825254,7971,1678277407508865361,,2493201300000,
1678277407552255426,7972,1678277407551542822,,2493211300000,
1678277407552319355,7973,1678277407551662795,,2493221300000,
1678277407552713963,7974,1678277407551967097,,2493241300000,
1678277407552736919,7975,1678277407552053037,,2493251300000,
1678277407595354382,7976,1678277407594711232,,2493261300000,
1678277407595390501,7977,1678277407594822726,,2493271300000,
1678277407595560106,7978,1678277407594887664,,2493291300000,
1678277407638314787,7979,1678277407637685873,,2493301300000,
1678277407638367048,7980,1678277407637782049,,2493311300000,
1678277407638764458,7981,1678277407637839807,,2493321300000,
1678277407638812878,7982,1678277407637916220,,2493341300000,
1678277407681516297,7983,1678277407680848332,,2493351300000,
1678277407681623471,7984,1678277407680944812,,2493361300000,
1678277407681688959,7985,1678277407681024192,,2493381300000,
1678277407724819407,7986,1678277407724139362,,2493391300000,
