%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1678278907057065986,2327,1678278907056358904,,467724300000,
1678278907057142708,2328,1678278907056456053,,467734300000,
1678278907057158927,2329,1678278907056534075,,467754300000,
1678278907057208909,2330,1678278907056586857,,467764300000,
1678278907100481966,2331,1678278907099812611,,467774300000,
1678278907100554703,2332,1678278907099934923,,467784300000,
1678278907100569814,2333,1678278907100016872,,467804300000,
1678278907142686839,2334,1678278907142095229,,467814300000,
1678278907142945934,2335,1678278907142191294,,467824300000,
1678278907143026430,2336,1678278907142248093,,467834300000,
1678278907186178333,2337,1678278907185579645,,467854300000,
1678278907186292116,2338,1678278907185673873,,467864300000,
1678278907186497765,2339,1678278907185731072,,467874300000,
1678278907186726477,2340,1678278907185804952,,467894300000,
1678278907228823769,2341,1678278907228270616,,467904300000,
1678278907229030432,2342,1678278907228362949,,467914300000,
1678278907229104027,2343,1678278907228418963,,467924300000,
1678278907272312845,2344,1678278907271683553,,467944300000,
1678278907272623509,2345,1678278907271780022,,467954300000,
1678278907272654424,2346,1678278907271837416,,467964300000,
1678278907272937409,2347,1678278907271915938,,467974300000,
1678278907315296875,2348,1678278907314665568,,467994300000,
1678278907315374241,2349,1678278907314779162,,468004300000,
1678278907315429526,2350,1678278907314854018,,468014300000,
1678278907358986989,2351,1678278907358343493,,468024300000,
1678278907359023336,2352,1678278907358467934,,468044300000,
1678278907359036032,2353,1678278907358544413,,468054300000,
1678278907359536882,2354,1678278907358617323,,468064300000,
1678278907401688534,2355,1678278907401122325,,468074300000,
1678278907401791015,2356,1678278907401241376,,468094300000,
1678278907401817588,2357,1678278907401316716,,468104300000,
1678278907444492034,2358,1678278907444234827,,468114300000,
1678278907444516054,2359,1678278907444285821,,468134300000,
1678278907444524934,2360,1678278907444308994,,468144300000,
1678278907487044799,2361,1678278907486827575,,468154300000,
1678278907487066875,2362,1678278907486849408,,468164300000,
1678278907487113039,2363,1678278907486865466,,468184300000,
1678278907487119857,2364,1678278907486876230,,468194300000,
1678278907530817843,2365,1678278907530520076,,468204300000,
1678278907530842343,2366,1678278907530558589,,468214300000,
1678278907530849945,2367,1678278907530587410,,468234300000,
1678278907574501638,2368,1678278907574061176,,468244300000,
1678278907574519717,2369,1678278907574111051,,468254300000,
1678278907574549459,2370,1678278907574148120,,468264300000,
1678278907574753138,2371,1678278907574177725,,468284300000,
1678278907617019108,2372,1678278907616432591,,468294300000,
1678278907617053739,2373,1678278907616490733,,468304300000,
1678278907617064821,2374,1678278907616539634,,468324300000,
1678278907660306658,2375,1678278907659637341,,468334300000,
1678278907660348775,2376,1678278907659733141,,468344300000,
1678278907660492644,2377,1678278907659790803,,468354300000,
1678278907703646629,2378,1678278907702980422,,468374300000,
1678278907703689725,2379,1678278907703075334,,468384300000,
1678278907703733526,2380,1678278907703133143,,468394300000,
1678278907704166967,2381,1678278907703187026,,468404300000,
1678278907746495756,2382,1678278907745825846,,468424300000,
1678278907746543094,2383,1678278907745922335,,468434300000,
1678278907746676293,2384,1678278907745979168,,468444300000,
1678278907789912411,2385,1678278907789266143,,468454300000,
1678278907790134083,2386,1678278907789383990,,468474300000,
1678278907790214220,2387,1678278907789443174,,468484300000,
1678278907790589115,2388,1678278907789498660,,468494300000,
1678278907832635075,2389,1678278907831939321,,468504300000,
1678278907832735058,2390,1678278907832047243,,468524300000,
1678278907832771180,2391,1678278907832104228,,468534300000,
1678278907876174599,2392,1678278907875447230,,468544300000,
1678278907876247292,2393,1678278907875563076,,468564300000,
1678278907876324206,2394,1678278907875619770,,468574300000,
1678278907919382120,2395,1678278907918737296,,468584300000,
1678278907919541165,2396,1678278907918833257,,468594300000,
1678278907919580258,2397,1678278907918911763,,468614300000,
1678278907919848648,2398,1678278907918964430,,468624300000,
1678278907961966999,2399,1678278907961369986,,468634300000,
1678278907962021729,2400,1678278907961480248,,468644300000,
1678278907962075409,2401,1678278907961542597,,468664300000,
1678278908004757516,2402,1678278908004148141,,468674300000,
1678278908004821808,2403,1678278908004281562,,468684300000,
1678278908004855629,2404,1678278908004385937,,468694300000,
1678278908004884947,2405,1678278908004475190,,468714300000,
1678278908048619046,2406,1678278908047988029,,468724300000,
1678278908048681076,2407,1678278908048082643,,468734300000,
1678278908048801261,2408,1678278908048161413,,468754300000,
1678278908090561138,2409,1678278908090193305,,468764300000,
1678278908090586106,2410,1678278908090234110,,468774300000,
1678278908090609718,2411,1678278908090258324,,468784300000,
1678278908133368660,2412,1678278908133116728,,468804300000,
1678278908133386589,2413,1678278908133144834,,468814300000,
1678278908133419167,2414,1678278908133160896,,468824300000,
1678278908133506229,2415,1678278908133176058,,468834300000,
1678278908176551079,2416,1678278908176307392,,468854300000,
1678278908176667312,2417,1678278908176347462,,468864300000,
1678278908176675612,2418,1678278908176358595,,468874300000,
1678278908220428447,2419,1678278908220075446,,468884300000,
1678278908220444133,2420,1678278908220097209,,468904300000,
1678278908220489481,2421,1678278908220108050,,468914300000,
1678278908220557198,2422,1678278908220118781,,468924300000,
1678278908263473990,2423,1678278908263207037,,468944300000,
1678278908263527389,2424,1678278908263226605,,468954300000,
1678278908263586352,2425,1678278908263237169,,468964300000,
1678278908306946553,2426,1678278908306582925,,468974300000,
1678278908306998165,2427,1678278908306608728,,468994300000,
1678278908307022957,2428,1678278908306619217,,469004300000,
1678278908349411292,2429,1678278908349170067,,469014300000,
1678278908349523093,2430,1678278908349190828,,469024300000,
1678278908349567505,2431,1678278908349206703,,469044300000,
1678278908349575660,2432,1678278908349217004,,469054300000,
1678278908392828674,2433,1678278908392158531,,469064300000,
1678278908392865894,2434,1678278908392254202,,469074300000,
1678278908392914744,2435,1678278908392330685,,469094300000,
1678278908436501543,2436,1678278908435939062,,469104300000,
1678278908436549938,2437,1678278908436034714,,469114300000,
1678278908436733924,2438,1678278908436104817,,469124300000,
1678278908436798305,2439,1678278908436166084,,469144300000,
1678278908479767389,2440,1678278908479003788,,469154300000,
1678278908479806352,2441,1678278908479099671,,469164300000,
1678278908479843608,2442,1678278908479177105,,469184300000,
1678278908522501042,2443,1678278908521889613,,469194300000,
1678278908522567984,2444,1678278908522019554,,469204300000,
1678278908522754752,2445,1678278908522082311,,469214300000,
1678278908565138686,2446,1678278908564467336,,469234300000,
1678278908565183356,2447,1678278908564559340,,469244300000,
1678278908565197512,2448,1678278908564615272,,469254300000,
1678278908565624696,2449,1678278908564667306,,469264300000,
1678278908608685315,2450,1678278908608124221,,469284300000,
1678278908608716133,2451,1678278908608215238,,469294300000,
1678278908608765107,2452,1678278908608272099,,469304300000,
1678278908652115793,2453,1678278908651395015,,469314300000,
1678278908652151211,2454,1678278908651501692,,469334300000,
1678278908652168984,2455,1678278908651561850,,469344300000,
1678278908652235739,2456,1678278908651619721,,469354300000,
1678278908694501972,2457,1678278908693923958,,469374300000,
1678278908694536279,2458,1678278908694017577,,469384300000,
1678278908694555737,2459,1678278908694074642,,469394300000,
1678278908737470909,2460,1678278908736829732,,469404300000,
1678278908737513678,2461,1678278908736948531,,469424300000,
1678278908737572082,2462,1678278908737005401,,469434300000,
1678278908738004457,2463,1678278908737057857,,469444300000,
1678278908780780999,2464,1678278908780098320,,469454300000,
1678278908780838404,2465,1678278908780219127,,469474300000,
1678278908781105882,2466,1678278908780276698,,469484300000,
1678278908824031633,2467,1678278908823420667,,469494300000,
1678278908824078378,2468,1678278908823534775,,469504300000,
1678278908824092170,2469,1678278908823597664,,469524300000,
1678278908867167414,2470,1678278908866554416,,469534300000,
1678278908867331677,2471,1678278908866650326,,469544300000,
1678278908867508121,2472,1678278908866728184,,469564300000,
1678278908867675779,2473,1678278908866781163,,469574300000,
1678278908910174714,2474,1678278908909514226,,469584300000,
1678278908910239284,2475,1678278908909610719,,469594300000,
