%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1678266861223626340,119483,1678266861222985617,,1210754200000,
1678266861223719574,119484,1678266861223072468,,1210764200000,
1678266861223945658,119485,1678266861223121113,,1210774200000,
1678266861224029706,119486,1678266861223167693,,1210784200000,
1678266861224122343,119487,1678266861223212745,,1210794200000,
1678266861267309732,119488,1678266861266665661,,1210804200000,
1678266861267482541,119489,1678266861266753570,,1210814200000,
1678266861267512475,119490,1678266861266801728,,1210824200000,
1678266861267867027,119491,1678266861266846745,,1210834200000,
1678266861311767107,119492,1678266861311159638,,1210844200000,
1678266861311832190,119493,1678266861311244749,,1210854200000,
1678266861312161197,119494,1678266861311292906,,1210864200000,
1678266861312203660,119495,1678266861311338761,,1210874200000,
1678266861312356248,119496,1678266861311385190,,1210884200000,
1678266861355590731,119497,1678266861354912588,,1210894200000,
1678266861355670267,119498,1678266861354999929,,1210904200000,
1678266861355701296,119499,1678266861355048785,,1210914200000,
1678266861356129633,119500,1678266861355094281,,1210924200000,
1678266861399211678,119501,1678266861398494396,,1210934200000,
1678266861399291924,119502,1678266861398609936,,1210944200000,
1678266861399330620,119503,1678266861398662789,,1210954200000,
1678266861400067200,119504,1678266861398709410,,1210964200000,
1678266861443239332,119505,1678266861442525386,,1210974200000,
1678266861443366716,119506,1678266861442638883,,1210984200000,
1678266861443693771,119507,1678266861442690602,,1210994200000,
1678266861443926234,119508,1678266861442737816,,1211004200000,
1678266861444094599,119509,1678266861442783099,,1211014200000,
1678266861487525085,119510,1678266861486780067,,1211024200000,
1678266861487566842,119511,1678266861486869912,,1211034200000,
1678266861487663818,119512,1678266861486919804,,1211044200000,
1678266861487964869,119513,1678266861486965793,,1211054200000,
1678266861532006439,119514,1678266861531269030,,1211064200000,
1678266861532153791,119515,1678266861531384322,,1211074200000,
1678266861532241981,119516,1678266861531436245,,1211084200000,
1678266861532357253,119517,1678266861531484376,,1211094200000,
1678266861532540268,119518,1678266861531530853,,1211104200000,
1678266861574861009,119519,1678266861574183041,,1211114200000,
1678266861574916079,119520,1678266861574266495,,1211124200000,
1678266861575416736,119521,1678266861574314967,,1211134200000,
1678266861575445499,119522,1678266861574360935,,1211144200000,
1678266861618310325,119523,1678266861617511695,,1211154200000,
1678266861618407965,119524,1678266861617625618,,1211164200000,
1678266861618437863,119525,1678266861617691099,,1211174200000,
1678266861618479276,119526,1678266861617753138,,1211184200000,
1678266861662724289,119527,1678266861661840051,,1211194200000,
1678266861662797115,119528,1678266861661927060,,1211204200000,
1678266861663010900,119529,1678266861661976917,,1211214200000,
1678266861663038365,119530,1678266861662022941,,1211224200000,
1678266861663085311,119531,1678266861662068414,,1211234200000,
1678266861706999430,119532,1678266861706255998,,1211244200000,
1678266861707057077,119533,1678266861706343335,,1211254200000,
1678266861707112977,119534,1678266861706391946,,1211264200000,
1678266861707346782,119535,1678266861706438203,,1211274200000,
1678266861751279192,119536,1678266861750579158,,1211284200000,
1678266861751373132,119537,1678266861750665138,,1211294200000,
1678266861751950299,119538,1678266861750713677,,1211304200000,
1678266861751976835,119539,1678266861750760896,,1211314200000,
1678266861793700418,119540,1678266861793178534,,1211324200000,
1678266861793841083,119541,1678266861793263764,,1211334200000,
1678266861793976037,119542,1678266861793311916,,1211344200000,
1678266861794188043,119543,1678266861793357725,,1211354200000,
1678266861794409335,119544,1678266861793402609,,1211364200000,
1678266861838567847,119545,1678266861837976637,,1211374200000,
1678266861838599663,119546,1678266861838084898,,1211384200000,
1678266861838868628,119547,1678266861838137351,,1211394200000,
1678266861839055315,119548,1678266861838183075,,1211404200000,
1678266861882762545,119549,1678266861882034236,,1211414200000,
